seed,cycle,fe,Nmerge,Nunique,Nnd,Roverflow
20260903,1,6775,262,204,15,0.15
20260903,2,13491,256,212,24,0.24
20260903,3,20281,266,216,36,0.36
20260903,4,27182,261,215,48,0.48
20260903,5,34238,256,213,47,0.47
20260903,6,41501,260,222,50,0.5
20260903,7,49036,258,215,65,0.65
20260903,8,56932,253,207,51,0.51
20260903,9,65313,251,214,68,0.68
20260903,10,74366,262,221,73,0.73
20260903,11,84405,259,218,71,0.71
20260903,12,96025,252,209,71,0.71
