runId,profileName,cliAlias,betaMax,instance,seed,population,maxFEs,actualFE,decoderCalls,remainingFE,qPhaseFE,terminationKind,phaseBoundAccepted,frontSize,wallNanos,status,failures
run-REF_A4-50_2_3_1-20260907,REF_A4_FROZEN,REF_A4,0.65,50_2_3_1,20260907,100,20000,15258,15258,4742,5000,PHASE_CONSISTENT_TAIL_STOP,true,97,11305680908,COMPLETED,NONE
run-C0-50_2_3_1-20260907,C0_BETA_MAX_065,C0,0.65,50_2_3_1,20260907,100,20000,15258,15258,4742,5000,PHASE_CONSISTENT_TAIL_STOP,true,97,11246594926,COMPLETED,NONE
run-C1-50_2_3_1-20260907,C1_BETA_MAX_055,C1,0.55,50_2_3_1,20260907,100,20000,20000,20000,0,5000,EXACT_MAX_FE,true,117,16826326416,COMPLETED,NONE
run-C2-50_2_3_1-20260907,C2_BETA_MAX_045,C2,0.45,50_2_3_1,20260907,100,20000,20000,20000,0,5000,EXACT_MAX_FE,true,182,15113901157,COMPLETED,NONE
run-C3-50_2_3_1-20260907,C3_BETA_MAX_035,C3,0.35,50_2_3_1,20260907,100,20000,20000,20000,0,5000,EXACT_MAX_FE,true,214,16446320289,COMPLETED,NONE
run-REF_A4-100_5_3_1-20260907,REF_A4_FROZEN,REF_A4,0.65,100_5_3_1,20260907,100,20000,15258,15258,4742,5000,PHASE_CONSISTENT_TAIL_STOP,true,79,19171235324,COMPLETED,NONE
run-C0-100_5_3_1-20260907,C0_BETA_MAX_065,C0,0.65,100_5_3_1,20260907,100,20000,15258,15258,4742,5000,PHASE_CONSISTENT_TAIL_STOP,true,79,17017757344,COMPLETED,NONE
run-C1-100_5_3_1-20260907,C1_BETA_MAX_055,C1,0.55,100_5_3_1,20260907,100,20000,20000,20000,0,5000,EXACT_MAX_FE,true,105,24572117523,COMPLETED,NONE
run-C2-100_5_3_1-20260907,C2_BETA_MAX_045,C2,0.45,100_5_3_1,20260907,100,20000,20000,20000,0,5000,EXACT_MAX_FE,true,92,24206559670,COMPLETED,NONE
run-C3-100_5_3_1-20260907,C3_BETA_MAX_035,C3,0.35,100_5_3_1,20260907,100,20000,20000,20000,0,5000,EXACT_MAX_FE,true,140,27242105953,COMPLETED,NONE
