instance,profile,betaMax,actualFE,totalLocalFE,formalLocalFE,caTaLiteFE,localFeShare,globalPhaseFE,formalOuterCycles,formalQgRounds,cfvfOffspring,qgSelections,qpActions,outerCyclesNonDecreasing,cfvfNonDecreasing
50_2_3_1,C0,0.65,15258,5158,4645,513,0.338052169354,10100,2,100,10000,400,8100,true,true
50_2_3_1,C1,0.55,20000,4900,4142,758,0.245000000000,15100,3,150,15000,600,13100,true,true
50_2_3_1,C2,0.45,20000,4900,4115,785,0.245000000000,15100,3,150,15000,600,13100,true,true
50_2_3_1,C3,0.35,20000,4900,4147,753,0.245000000000,15100,3,150,15000,600,13100,true,true
100_5_3_1,C0,0.65,15258,5158,4712,446,0.338052169354,10100,2,100,10000,400,8100,true,true
100_5_3_1,C1,0.55,20000,4900,4235,665,0.245000000000,15100,3,150,15000,600,13100,true,true
100_5_3_1,C2,0.45,20000,4900,4269,631,0.245000000000,15100,3,150,15000,600,13100,true,true
100_5_3_1,C3,0.35,20000,4900,4254,646,0.245000000000,15100,3,150,15000,600,13100,true,true
