algorithm,frontSize,HV,IGD,Spacing,C_against_other,other_C_against_self,minCmax,minTEC,minTWC,maxCmax,maxTEC,maxTWC
ZHANGBO-FULL,846,1.03790440606,0.000792054084864,0.0129981041911,0.974874371859,0.00000000000,179.112328385,8371.16621818,12627.0743126,443.743427050,11124.7219349,19747.1860317
HMOPSO-QGS-F,199,0.804857725898,0.127547378030,0.0253496100932,0.00000000000,0.974874371859,198.043108851,8774.33146560,12823.2393342,430.143767895,11633.2584419,19479.5288994
