checkpointTargetFE,checkpointObservedFE,overshootFE,evaluationCounterFE,frontType,frontSize
0,0,0,0,b0-decision-front,5
0,0,0,0,b0-observed-full-front,5
25000,25000,0,25006,checkpoint-decision-front,75
25000,25000,0,25006,checkpoint-observed-full-front,84
50000,50000,0,50044,checkpoint-decision-front,215
50000,50000,0,50044,checkpoint-observed-full-front,263
75000,75000,0,75032,checkpoint-decision-front,321
75000,75000,0,75032,checkpoint-observed-full-front,466
100000,100000,0,100000,checkpoint-decision-front,356
100000,100000,0,100000,checkpoint-observed-full-front,427
125000,125000,0,125015,checkpoint-decision-front,323
125000,125000,0,125015,checkpoint-observed-full-front,424
150000,150000,0,150092,checkpoint-decision-front,341
150000,150000,0,150092,checkpoint-observed-full-front,439
175000,175000,0,175066,checkpoint-decision-front,377
175000,175000,0,175066,checkpoint-observed-full-front,482
200000,200000,0,200063,checkpoint-decision-front,282
200000,200000,0,200063,checkpoint-observed-full-front,409
225000,225000,0,225074,checkpoint-decision-front,319
225000,225000,0,225074,checkpoint-observed-full-front,559
250000,250000,0,250000,checkpoint-decision-front,313
250000,250000,0,250000,checkpoint-observed-full-front,543
275000,275000,0,275000,checkpoint-decision-front,317
275000,275000,0,275000,checkpoint-observed-full-front,507
300000,300000,0,300014,checkpoint-decision-front,400
300000,300000,0,300014,checkpoint-observed-full-front,636
325000,325000,0,325094,checkpoint-decision-front,427
325000,325000,0,325094,checkpoint-observed-full-front,727
350000,350000,0,350000,checkpoint-decision-front,420
350000,350000,0,350000,checkpoint-observed-full-front,773
375000,375000,0,375000,checkpoint-decision-front,452
375000,375000,0,375000,checkpoint-observed-full-front,678
400000,400000,0,400036,checkpoint-decision-front,436
400000,400000,0,400036,checkpoint-observed-full-front,693
425000,425000,0,425000,checkpoint-decision-front,485
425000,425000,0,425000,checkpoint-observed-full-front,790
450000,450000,0,450000,checkpoint-decision-front,489
450000,450000,0,450000,checkpoint-observed-full-front,808
475000,475000,0,475000,checkpoint-decision-front,496
475000,475000,0,475000,checkpoint-observed-full-front,766
500000,500000,0,500000,terminal-decision-front,518
500000,500000,0,500000,terminal-observed-full-front,811
