seed,windowEndFE,rounds,meanNmerge,meanNnd,maxNnd,meanRoverflow,maxRoverflow
20260902,50000,1,300.0,59.0,59,0.59,0.59
20260902,100000,2,300.0,67.0,70,0.6699999999999999,0.7
