arm,initialPopulationHash,actualFE,decoderCalls,remainingFE,qPhaseFE,utilizationRate,terminationKind,accepted
A0,9fb09e602019393d54f8083448839b9193a78afef2f122cb8d89f4511afc4466,50000,50000,0,5000,1.000000000000,EXACT_MAX_FE,true
A1,9fb09e602019393d54f8083448839b9193a78afef2f122cb8d89f4511afc4466,50000,50000,0,5000,1.000000000000,EXACT_MAX_FE,true
A2,9fb09e602019393d54f8083448839b9193a78afef2f122cb8d89f4511afc4466,50000,50000,0,5000,1.000000000000,EXACT_MAX_FE,true
A3,9fb09e602019393d54f8083448839b9193a78afef2f122cb8d89f4511afc4466,50000,50000,0,5000,1.000000000000,EXACT_MAX_FE,true
A4,9fb09e602019393d54f8083448839b9193a78afef2f122cb8d89f4511afc4466,48269,48269,1731,5000,0.965380000000,PHASE_CONSISTENT_TAIL_STOP,true
