sequence,job,stage,factory,machine,worker,predecessorCompletion,machineAvailableBefore,workerAvailableBefore,start,recoveryDuration,fatigueBeforeRecovery,fatigueAtStart,ST,SUT,machineSpeed,machinePower,workerEfficiency,workerCost,lambda,muCurrentStage,recoveryMu,r,delta,baseProcessing,baseSetup,baseAT,fatigueMultiplier,actualProcessing,actualSetup,actualAT,end,fatigueAfter,energy,cost,safeThresholdExceeded
0,3,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,7.0,1.0,10.0,0.01903105251791181,0.042003943265363816,0.042003943265363816,0.3,22.742226782219984,9.0,1.0,10.0,1.0,9.0,1.0,10.0,10.0,0.17329761782382144,70.0,100.0,false
1,2,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,1.2,10.0,1.2,12.0,0.026910216099651475,0.03457450986628025,0.03457450986628025,0.3,16.083427597309207,8.333333333333334,1.6666666666666667,10.0,1.0,8.333333333333334,1.6666666666666667,10.0,10.0,0.23593480600078226,100.0,120.0,false
2,7,0,0,1,0,0.0,10.0,10.0,10.0,0.0,0.23593480600078226,0.23593480600078226,14.0,2.0,1.2,10.0,1.2,12.0,0.026910216099651475,0.03457450986628025,0.03457450986628025,0.3,16.083427597309207,9.722222222222223,1.6666666666666667,11.38888888888889,1.0916807934726944,10.613563269873419,1.8194679891211574,12.433031258994577,22.433031258994575,0.45320303189776956,124.33031258994576,149.19637510793493,false
3,5,0,0,0,1,0.0,10.0,10.0,10.0,0.0,0.17329761782382144,0.17329761782382144,8.0,2.0,1.0,7.0,1.0,10.0,0.01903105251791181,0.042003943265363816,0.042003943265363816,0.3,22.742226782219984,8.0,2.0,10.0,1.0691707038300895,8.553365630640716,2.138341407660179,10.691707038300894,20.691707038300894,0.3255009173172335,74.84194926810626,106.91707038300893,false
4,9,0,0,2,1,0.0,0.0,20.691707038300894,20.691707038300894,0.0,0.3255009173172335,0.3255009173172335,9.0,2.0,1.3,12.0,1.0,10.0,0.01903105251791181,0.042003943265363816,0.042003943265363816,0.3,22.742226782219984,6.9230769230769225,2.0,8.923076923076923,1.1219613005881979,7.767424388687523,2.2439226011763957,10.011346989863918,30.703054028164814,0.44251040175046363,120.13616387836703,100.11346989863918,false
5,0,0,0,2,0,0.0,30.703054028164814,22.433031258994575,30.703054028164814,8.27002276917024,0.45320303189776956,0.3404976538583089,10.0,1.0,1.3,12.0,1.2,12.0,0.026910216099651475,0.03457450986628025,0.03457450986628025,0.3,16.083427597309207,6.41025641025641,0.8333333333333334,7.243589743589743,1.1268306082944761,7.223273130092795,0.9390255069120634,8.16229863700486,38.865352665169674,0.47055128257091716,97.94758364405831,97.94758364405831,false
6,3,1,0,0,3,10.0,0.0,0.0,10.0,0.0,0.0,0.0,14.0,3.0,1.2,9.0,1.1,11.0,0.024516346668978548,0.04339585229398448,0.04339585229398448,0.3,17.653874702887027,10.606060606060606,2.727272727272727,13.333333333333332,1.0,10.606060606060606,2.727272727272727,13.333333333333332,23.333333333333332,0.2788330551560315,119.99999999999999,146.66666666666666,false
7,2,1,0,1,2,10.0,0.0,0.0,10.0,0.0,0.0,0.0,12.0,3.0,1.1,8.0,0.9,9.0,0.012729338129720998,0.06534298538013117,0.06534298538013117,0.3,34.00086539111954,12.12121212121212,3.333333333333333,15.454545454545453,1.0,12.12121212121212,3.333333333333333,15.454545454545453,25.454545454545453,0.17858444029615597,123.63636363636363,139.09090909090907,false
8,5,1,0,0,3,20.691707038300894,23.333333333333332,23.333333333333332,23.333333333333332,0.0,0.2788330551560315,0.2788330551560315,15.0,2.0,1.2,9.0,1.1,11.0,0.024516346668978548,0.04339585229398448,0.04339585229398448,0.3,17.653874702887027,11.363636363636363,1.8181818181818181,13.181818181818182,1.1064483821074553,12.5732770694029,2.0117243311044644,14.585001400507364,37.918334733840695,0.4956352552504796,131.26501260456627,160.435015405581,false
9,7,1,0,1,2,22.433031258994575,25.454545454545453,25.454545454545453,25.454545454545453,0.0,0.17858444029615597,0.17858444029615597,12.0,2.0,1.1,8.0,0.9,9.0,0.012729338129720998,0.06534298538013117,0.06534298538013117,0.3,34.00086539111954,12.12121212121212,2.2222222222222223,14.343434343434343,1.0711165374786114,12.9832307573165,2.380258972174692,15.363489729491192,40.818035184036646,0.3244939669267596,122.90791783592954,138.27140756542073,false
