sequence,job,stage,factory,machine,worker,predecessorCompletion,machineAvailableBefore,workerAvailableBefore,start,recoveryDuration,fatigueBeforeRecovery,fatigueAtStart,ST,SUT,machineSpeed,machinePower,workerEfficiency,workerCost,lambda,muCurrentStage,recoveryMu,r,delta,baseProcessing,baseSetup,baseAT,fatigueMultiplier,actualProcessing,actualSetup,actualAT,end,fatigueAfter,energy,cost,safeThresholdExceeded
10,9,1,0,0,3,30.703054028164814,37.918334733840695,37.918334733840695,37.918334733840695,0.0,0.4956352552504796,0.4956352552504796,9.0,1.0,1.2,9.0,1.1,11.0,0.024516346668978548,0.04339585229398448,0.04339585229398448,0.3,17.653874702887027,6.8181818181818175,0.9090909090909091,7.727272727272727,1.1742275152145385,8.00609669464458,1.067479559285944,9.073576253930524,46.99191098777122,0.5962286448066252,81.66218628537472,99.80933879323577,false
11,0,1,0,1,2,38.865352665169674,40.818035184036646,40.818035184036646,40.818035184036646,0.0,0.3244939669267596,0.3244939669267596,8.0,1.0,1.1,8.0,0.9,9.0,0.012729338129720998,0.06534298538013117,0.06534298538013117,0.3,34.00086539111954,8.08080808080808,1.1111111111111112,9.19191919191919,1.1216323816729246,9.06369601351858,1.246258201858805,10.309954215377385,51.127989399414034,0.40757564420092257,82.47963372301908,92.78958793839647,false
12,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,1.1,8.0,1.1,11.0,0.01293570112951506,0.06350772240419988,0.06350772240419988,0.3,33.4584502172179,13.223140495867767,2.727272727272727,15.950413223140494,1.0,13.223140495867767,2.727272727272727,15.950413223140494,15.950413223140494,0.18643526399471702,127.60330578512395,175.45454545454544,false
13,4,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,1.0,7.0,1.2,12.0,0.014007937494133423,0.06730452786001137,0.06730452786001137,0.3,30.897376037546632,8.333333333333334,1.6666666666666667,10.0,1.0,8.333333333333334,1.6666666666666667,10.0,10.0,0.13071076712155566,70.0,120.0,false
14,6,0,1,0,1,0.0,10.0,10.0,10.0,0.0,0.13071076712155566,0.13071076712155566,13.0,2.0,1.0,7.0,1.2,12.0,0.014007937494133423,0.06730452786001137,0.06730452786001137,0.3,30.897376037546632,10.833333333333334,1.6666666666666667,12.5,1.0531689816620458,11.409330634672163,1.7552816361034096,13.164612270775573,23.16461227077557,0.27710293626128657,92.152285895429,157.97534724930688,false
15,8,0,1,1,0,0.0,15.950413223140494,15.950413223140494,15.950413223140494,0.0,0.18643526399471702,0.18643526399471702,16.0,3.0,1.1,8.0,1.1,11.0,0.01293570112951506,0.06350772240419988,0.06350772240419988,0.3,33.4584502172179,13.223140495867767,2.727272727272727,15.950413223140494,1.073990015276701,14.201520863162987,2.929063678027366,17.130584541190352,33.080997764330846,0.3481402842807724,137.04467632952282,188.43642995309386,false
16,4,1,1,0,2,10.0,0.0,0.0,10.0,0.0,0.0,0.0,16.0,3.0,1.0,7.0,1.2,12.0,0.027304451263626864,0.0682845009168481,0.0682845009168481,0.3,15.85120711959691,13.333333333333334,2.5,15.833333333333334,1.0,13.333333333333334,2.5,15.833333333333334,25.833333333333336,0.3509986475232906,110.83333333333334,190.0,false
17,1,1,1,1,3,15.950413223140494,0.0,0.0,15.950413223140494,0.0,0.0,0.0,11.0,2.0,1.2,8.0,0.9,9.0,0.013579305034188385,0.06613864891662347,0.06613864891662347,0.3,31.872655572359147,10.185185185185185,2.2222222222222223,12.407407407407408,1.0,10.185185185185185,2.2222222222222223,12.407407407407408,28.357820630547902,0.15505519211335597,99.25925925925927,111.66666666666667,false
18,6,1,1,2,2,23.16461227077557,0.0,25.833333333333336,25.833333333333336,0.0,0.3509986475232906,0.3509986475232906,18.0,1.0,0.9,6.0,1.2,12.0,0.027304451263626864,0.0682845009168481,0.0682845009168481,0.3,15.85120711959691,16.666666666666664,0.8333333333333334,17.499999999999996,1.1302078691172692,18.83679781862115,0.9418398909310577,19.778637709552207,45.61197104288554,0.6218125579165985,118.67182625731324,237.34365251462648,false
19,8,1,1,0,3,33.080997764330846,25.833333333333336,28.357820630547902,33.080997764330846,4.723177133782944,0.15505519211335597,0.11345389891703733,10.0,1.0,1.0,7.0,0.9,9.0,0.013579305034188385,0.06613864891662347,0.06613864891662347,0.3,31.872655572359147,11.11111111111111,1.1111111111111112,12.222222222222221,1.0465125479458492,11.627917199398324,1.1627917199398325,12.790708919338156,45.871706683669004,0.25480629624781265,96.78262686636461,180.345360153021,false
