artifactKind	artifactName	archivePath	bytes	sha256	sourceFileCount	verificationStatus
source-freeze	01-eswa2026-最新李明哲第四.pdf	G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\source-freeze\01-eswa2026-最新李明哲第四.pdf	6079426	BBBF3051E3B0B4F24A6B7FDC01DBAE7375D774E2467738A4DD8E49EAECACCF9D	1	SOURCE_HASH_VERIFIED
source-freeze	02-104_2022930913_李明哲.pdf	G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\source-freeze\02-104_2022930913_李明哲.pdf	8997321	D835DCD5B15BF767F432F80835235BE740E7BD5BA0EF9DDB70437FB4EF91EC3A	1	SOURCE_HASH_VERIFIED
source-freeze	03-elsarticle-template-num-20250610.pdf	G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\source-freeze\03-elsarticle-template-num-20250610.pdf	7069829	900F6573647F972119F6151C0D7F134C6E3538FBB1EF12AC49DFA3720DA7913A	1	SOURCE_HASH_VERIFIED
source-freeze	04-v3.5.md	G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\source-freeze\04-v3.5.md	82893	564D539C34CD05CB23DCCF0F70F72ACFDF5B00820784506DAF5C7377734D174B	1	SOURCE_HASH_VERIFIED
source-freeze	05-HMOPSO_QGS_疲劳_全向量双Q_CA-TA-VNS_综合改进方案_v2.md	G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\source-freeze\05-HMOPSO_QGS_疲劳_全向量双Q_CA-TA-VNS_综合改进方案_v2.md	72297	4A1EB6C9DF1E9FAD378124A6A1D14209D1408BDE6CBB827FD99506D002DB766D	1	SOURCE_HASH_VERIFIED
source-freeze	06-HMOPSO_Qpbest_认知社会双引导完整设计方案.md	G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\source-freeze\06-HMOPSO_Qpbest_认知社会双引导完整设计方案.md	72162	4454C710CCF287FB8D4C3CC59A7D54F36F6965D4D1D7584904AB0075AE89E138	1	SOURCE_HASH_VERIFIED
source-freeze	07-基于李明哲HMOPSO-QGS的多技能疲劳恢复与双Q引导改进方案.md	G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\source-freeze\07-基于李明哲HMOPSO-QGS的多技能疲劳恢复与双Q引导改进方案.md	41209	43E1C9A5129A068B9281A392AC32B17D7388F6A1AFDD6397C3BACEFF7E82FACF	1	SOURCE_HASH_VERIFIED
source-freeze	08-李明哲第四章VNS改进方案_代价感知上下文自适应VNS.md	G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\source-freeze\08-李明哲第四章VNS改进方案_代价感知上下文自适应VNS.md	38788	C4A7075B94C46F491313541B9B37BB3CFE6C8633C0B37C8FA1E825F286FB24DC	1	SOURCE_HASH_VERIFIED
local-primary	current-docs-evidence.tar.gz	G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\local-primary\current-docs-evidence.tar.gz	1250421670	C9491F88DDF159F18747B9EAC3AFB146396D2BD2709255C5EF1448E4671934B2	8800	ARCHIVE_CREATED_FILE_COUNT_VERIFIED
local-primary	current-paper-evidence.tar.gz	G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\local-primary\current-paper-evidence.tar.gz	39603631	BE29DE97229CB1C75F727AA39A169197DD9173C53A14E044D886FBDA4ADADCD3	235	ARCHIVE_CREATED_FILE_COUNT_VERIFIED
local-primary	development-runs-20260822.tar.gz	G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\local-primary\development-runs-20260822.tar.gz	677504390	C8AFE455634E0E9CA3248714D2BA08913C1A8293E66991537FBA65DBB34421A1	2035	VERIFIED_FULL_ARCHIVE
local-primary	final-freeze.tar.gz	G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\local-primary\final-freeze.tar.gz	721886992	873378F3D0B99E6F949021C917CE8547483964CC7DCB02BF32B77B6F04D9E0DD	25139	ARCHIVE_CREATED_FILE_COUNT_VERIFIED
local-sandboxes	_isolated-v35-final-doe1-regression-sandbox-20260823.tar.gz	G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\local-sandboxes\_isolated-v35-final-doe1-regression-sandbox-20260823.tar.gz	464213680	835E0CD29628D4744B72584CB6E506359CAE7B41EB40A845ACB05369A3180635	21188	VERIFIED_FULL_ARCHIVE
local-sandboxes	_isolated-v35-final-doe1-regression-sandbox-byte-20260823.tar.gz	G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\local-sandboxes\_isolated-v35-final-doe1-regression-sandbox-byte-20260823.tar.gz	531362339	E5ED745361F59197C9DC7D593CA57A111F97EC6C2BB89758AFA53B5CB2D37C38	21233	VERIFIED_FULL_ARCHIVE
local-sandboxes	_isolated-v35-final-doe1-regression-sandbox-lf-20260823.tar.gz	G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\local-sandboxes\_isolated-v35-final-doe1-regression-sandbox-lf-20260823.tar.gz	439503906	3F81F0FCAA127134C08B8860651EE1417D4DF5559A47A58DD8CFD1DE024B578D	20172	VERIFIED_FULL_ARCHIVE
remote-campaigns	zhangbo-cmax-audit-20k-20260812.tar.gz	G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\remote-campaigns\zhangbo-cmax-audit-20k-20260812.tar.gz	45212501	F6CC72022176167C41CF759356ACA9999B8EC427767E097445A26F18E4AC6DAD	24	VERIFIED
remote-campaigns	zhangbo-fc-500k-20260817.tar.gz	G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\remote-campaigns\zhangbo-fc-500k-20260817.tar.gz	477975	70D235409DC4E732754B23134D7A5292B23BAFAEF023E52F454DFF49D8ABC455	104	VERIFIED
remote-campaigns	zhangbo-fc4-20260817.tar.gz	G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\remote-campaigns\zhangbo-fc4-20260817.tar.gz	307282	8A449EA807086B24A9C83C485DF4B059AA28D1FA6C58EE543A48A21C592A8B95	88	VERIFIED
remote-campaigns	zhangbo-fc6-20260818.tar.gz	G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\remote-campaigns\zhangbo-fc6-20260818.tar.gz	357910498	34B41F46623A63F57258157FCDCEF1F494893ECD414A810E526CD4768AA662C4	313	VERIFIED
remote-campaigns	zhangbo-fc6a1-20260819.tar.gz	G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\remote-campaigns\zhangbo-fc6a1-20260819.tar.gz	99410733	A689E4757ED4B556208EB476DC4C8A8D297235152230241A47EE21116C13D51E	101	VERIFIED
remote-campaigns	zhangbo-fc6a4-order-20260820.tar.gz	G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\remote-campaigns\zhangbo-fc6a4-order-20260820.tar.gz	58987539	C69690F861D5AC3E4E11F2202465A0AF147DAF050F16CAD4DC79F400769D4824	249	VERIFIED
remote-campaigns	zhangbo-fc6b-region-20260820-r1.tar.gz	G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\remote-campaigns\zhangbo-fc6b-region-20260820-r1.tar.gz	46274589	BF06C825ED85814416C26E2ABD3D7252D09D6F8DB1C17BE313F05E32628B06CC	100	VERIFIED
remote-campaigns	zhangbo-fc6b-region-20260820-r2.tar.gz	G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\remote-campaigns\zhangbo-fc6b-region-20260820-r2.tar.gz	54401080	18693E9C5DBC6279B31E22A6A71A54E2E47928C23A23BE3E7A5168D2A9F4B7F0	238	VERIFIED
remote-campaigns	zhangbo-fc6b-region-20260820-r3.tar.gz	G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\remote-campaigns\zhangbo-fc6b-region-20260820-r3.tar.gz	101671938	A480718331AEF3B15DE1082F114262CC07B06F7E50891AED7AEC359EC733F6CA	395	VERIFIED
remote-campaigns	zhangbo-fc6b-region-20260820.tar.gz	G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\remote-campaigns\zhangbo-fc6b-region-20260820.tar.gz	50507214	EC23495B3756D06D98304F97CB108D73BD60F3D5CB257B43CF94A9E0478139D5	242	VERIFIED
remote-campaigns	zhangbo-java-p9-decoder-timing-500k-20260811.tar.gz	G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\remote-campaigns\zhangbo-java-p9-decoder-timing-500k-20260811.tar.gz	45116624	E4CC1181C8AE49E764E428F04F07B7A1F3221BC6845899C028F3262F806824F1	43	VERIFIED
remote-campaigns	zhangbo-java-p9-five-additional-500k-20260810.tar.gz	G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\remote-campaigns\zhangbo-java-p9-five-additional-500k-20260810.tar.gz	45873604	BD13E71731E7A7F8F831DC5601106D813A34A938294BBB3063304194B9C27078	223	VERIFIED
remote-campaigns	zhangbo-java-p9-pilot-20260810.tar.gz	G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\remote-campaigns\zhangbo-java-p9-pilot-20260810.tar.gz	45634135	412224EC6203766D3DFA45D666718BAB735E31955752BB7B34FBF320217FB3EE	131	VERIFIED
remote-campaigns	zhangbo-java-p9-single-500k-20260810.tar.gz	G:\ResearchArchive\ZhangBo-V35-Paper-Evidence-20260823\remote-campaigns\zhangbo-java-p9-single-500k-20260810.tar.gz	45643275	F8613191B1FA7E29D1C10A0D072C6855AC11B78C6CA27708AA4539B56030558D	125	VERIFIED
