key,value
artifactRows,56151
remoteCampaigns,25
remotePresentAfter,6
remoteDeletedRecoverable,19
localCleanupBytes,13344486757
remoteCleanupBytesIncludingTransferChunks,13304611677
generatedAt,2026-08-24T00:00:00+08:00
