actualFE,nominalFE,outerCycle,qRound,eventType,subjectFingerprint,relatedFingerprint,source,action,detail
1,25000,0,-1,GENERATED,7cc55123cd35455cd9a5277c7cdfe1b3c624def55c35ba183bf5e960e69bb99a,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
2,25000,0,-1,GENERATED,ad4f99afeb64b5f7d4b453592eb525d1387d92d34bfc212b1a055ce9b652fc0a,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
3,25000,0,-1,GENERATED,d1e6541c7e54dfeb17e8dba28bc53347e5f615b1d1481e7414abdd5c7a13f1b5,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
4,25000,0,-1,GENERATED,d8e3f713aca3b05f40651b27c8cac641c6de7504ae98b4b6b1badf7001a2cacd,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
5,25000,0,-1,GENERATED,288170e4465f15af84387a7ef7ceae7f4165c13f8c6bf23502975d4a1f93dcd2,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
6,25000,0,-1,GENERATED,de22b0ee03ccd1ce0d36c84184cd93140c23c0e3e584f0f1d1775c9e7f2a894f,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
7,25000,0,-1,GENERATED,980282730032466314fcd897874d91e58188cdc88bf4125087021f35d700cafa,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
8,25000,0,-1,GENERATED,29a99c9dec46081e52e2040b7f8c89a18d3cc509e0da02d2ca0538538aa0c2e2,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
9,25000,0,-1,GENERATED,45b848ff92afdb9fec18646ab91e94c0faae14e520ce2ac7d7acd1f0b8f3344f,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
10,25000,0,-1,GENERATED,6a4ef4e00460db4e58d4e07e1ee1ba0d8a6793b1ed93459867dfceee5443e5fe,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
11,25000,0,-1,GENERATED,aa0126ee98ac55c8c2d27a47c23d59e78e333df21d7040acf1344a97e60342b8,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
12,25000,0,-1,GENERATED,90e1d424a973ebb71f25de4342fb9ac687d886a22275f20859f0d4f7a2ccd875,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
13,25000,0,-1,GENERATED,5d0767bf4e68bbba79024b48bec3f396c73d738b80b21ebc63ee88f888004557,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
14,25000,0,-1,GENERATED,980f95ffa47a8fbd685682482368b40ac07274bbf83be05e6d8b57b5487abef1,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
15,25000,0,-1,GENERATED,3b3655d1e9e00cb02cbacb1afa869bff027cec329b27c9ceb1838fe8980692a3,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
16,25000,0,-1,GENERATED,10e973bd21bd04b167d9a59c6a612e7cd2e34c8118bca0e3a3fb37217862b94f,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
17,25000,0,-1,GENERATED,dea773e7d3af01af1f643c2e24e6be92c7ec4d246d86102ac37da563706c41dd,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
18,25000,0,-1,GENERATED,b97f69e42b64d22e7351d09ffa881bd0259289eedec6e66a6251d0312155bf23,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
19,25000,0,-1,GENERATED,4d40428291c6740696e184f593a8ac2b7bcb1b07fb4894f34d9b6b963b84abcc,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
20,25000,0,-1,GENERATED,3d92a63d7637b8f59e066ada6e5971250b78a67ebb0243c02fea138eaa2ec0e3,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
21,25000,0,-1,GENERATED,0152f836c464b49f2c20afa628864ccc8f6c46f2f2f5381435e4cf2797fd9d56,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
22,25000,0,-1,GENERATED,58aa7edf94afda632f283b6ae5bc2381bcaf08b036f5db77efc1ff2d9564c308,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
23,25000,0,-1,GENERATED,5f266312315ae4e28d236c44fb222e0b7806e18dc55ce0d585bd5fee62cd7b7b,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
24,25000,0,-1,GENERATED,63d406e9d0d55f3e435ee5bd365cfee819b5a973e2e55c3da4e654ff17ccfa44,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
25,25000,0,-1,GENERATED,b8547b87b71a11689080945ffa85f7d6f4782ab8cca20408cf0d32d8fdb15d6e,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
26,25000,0,-1,GENERATED,f792dbb353a102ecfaef645b35f6b8705b02ae00888e337218549c07daa64573,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
27,25000,0,-1,GENERATED,d96910f2806f082220016ad1f8d2c98de8f73588e5adb6e1e5e2213e9f1bfa0f,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
28,25000,0,-1,GENERATED,a4d8c9fba6f638e3daa115f0cdc568024ca91125aad2750e6bcc1e2a7f89ec62,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
29,25000,0,-1,GENERATED,23b163b6acd1653617659d008c99fc12c910a68597e05d912afdf13f1abcae3e,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
30,25000,0,-1,GENERATED,b79dfe0ff334ae70b62f699b5400e6d2ea0293feaf121976de815eb45a553e61,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
31,25000,0,-1,GENERATED,9280cc60193dc5f01b1bc67b5a65622089997b92ae5192e61385350d196181de,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
32,25000,0,-1,GENERATED,e7e7d9c267d765e969ff650cb5afb477f148d7f634b943d8996e3d24d58da48c,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
33,25000,0,-1,GENERATED,4c2223d1c5e6e767098961b390eea7720bf9303b864bcab1b3eb0ae315ee35d9,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
34,25000,0,-1,GENERATED,11cd7970b998fe2e150ab6468dd4589a7a7088034064e4d04d255b8aad2b7864,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
35,25000,0,-1,GENERATED,c1cc5216113486bdb2367a626d5a006a0255a4dfde1d03d40151af44e7424761,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
36,25000,0,-1,GENERATED,4355d7c229672853de7af342c5afe93a8b472e23165651fea510c4cff3fee931,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
37,25000,0,-1,GENERATED,acb14a1d4658300df4ce112ffedd2abaefc5a402c2ebce4d596223cdc1ca6f4d,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
38,25000,0,-1,GENERATED,05b7482cf6ed78af0e1488d7a424b6b15f3e6e3d67aab5fbea3609043eb24cc4,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
39,25000,0,-1,GENERATED,3b6b4587d2644790f4d76fcd7f6cd2358e51c4fa0c805832b60de42ffa3ef78a,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
40,25000,0,-1,GENERATED,501350c9ac222dff5ca40864cbd2e4c48bf187598fc7e9e4ce539197bceba7fb,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
41,25000,0,-1,GENERATED,c8f93cf4478a9aa6455b85cfa131f40069e2d3b0c7e7c72fcd799edd539442bc,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
42,25000,0,-1,GENERATED,ddb2cd3355798b246f655c27afb46ba5607bf93f2871a735ec30865ec35c0328,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
43,25000,0,-1,GENERATED,d29051caa60e3df91d97937e22748e6e5456a4dbd0f498e4fe6b6f1e7ce75ca9,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
44,25000,0,-1,GENERATED,c737321a31b1d15890668a1dee974ed98048f9c3e044ca9e976f5a0b582438fd,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
45,25000,0,-1,GENERATED,334b77d8c99f153404857d2405c4339bb7df2f85e2cbd51edc80b739ef565f31,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
46,25000,0,-1,GENERATED,9d18c501c92119904c6ffb088b53b8ccbcb5224ac082e82eb5075f1ec2a1d3a6,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
47,25000,0,-1,GENERATED,d1070e02440d3d35a9c5e5154053c3e9cbdfc195f18f3f979f2e363f252fbd62,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
48,25000,0,-1,GENERATED,048221b461e4927dc12d534cb254df07325bcf7fdeef80295993b08782be06eb,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
49,25000,0,-1,GENERATED,3d3c4bbe064a5a141b2410e31997d1fae6a13bb3843583b878f218e5fae88e7f,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
50,25000,0,-1,GENERATED,acc2877c106ab18e0d1ccdf98f355c5edce1ecf8c058d61ae037118f950876d2,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
51,25000,0,-1,GENERATED,d94f0391869afc2db45aee7053c9b9d6ee9610d77036fd153d39183742511cb6,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
52,25000,0,-1,GENERATED,3174c9ae91db3af982cb47556e78ff1bc64f3e3ca3bde6757f6c63fdedb2dba4,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
53,25000,0,-1,GENERATED,58449e8ce229adb1bddd25f8560c29a65381582182dfb5219cb31557bd0aeee5,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
54,25000,0,-1,GENERATED,96e959d9dee6f19625352b9ce35163950a2a24867451917fd625722d6f5baad4,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
55,25000,0,-1,GENERATED,5311dc07c3b7443e01582a29e3e34b3d621581c90722e74a7a6bfbf8b93a6d97,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
56,25000,0,-1,GENERATED,ec8c866abec8da3b1e46a4a4af8155db34f193f3893a7b4385b263c487b491f1,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
57,25000,0,-1,GENERATED,31fdb2a5ae32ea33349c50076374be580293e32097da4645479705e8d52c8c21,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
58,25000,0,-1,GENERATED,724651283b3b71557961fa644fe62d141b3fa274f92dac880acae3689024b366,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
59,25000,0,-1,GENERATED,18a214ec6572545679d29db926636ad5fb729dd994cf235327cbdc6325ebee4b,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
60,25000,0,-1,GENERATED,7611800000c6d154968708b3229d57399290711a41dbe0b4894cef44189fa47b,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
61,25000,0,-1,GENERATED,abc360c19d48da1918a664704ebdd7aa85cb4e929e20f3288d14ac9694712999,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
62,25000,0,-1,GENERATED,c0d0f3dbde189c87e4aa3365646c132fa118d1e5bdb97ad4a86d276c143e3054,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
63,25000,0,-1,GENERATED,8e5a11e99d0ad0d806abec082413cb39018348c1f1a4d67a9e01146db1c4b371,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
64,25000,0,-1,GENERATED,7737d53a30d4562b9dc26c5d128f2bce5963347f4f89ae883e026242d019b112,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
65,25000,0,-1,GENERATED,bc005f6b236c72a26bb7744ca167f0db9580bf010c3ef6ec6846faaf30e16478,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
66,25000,0,-1,GENERATED,95f5c9c2002ed792cce704eede9f3670a6964da7b9b8b61d41b6760932447e63,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
67,25000,0,-1,GENERATED,1e330e45e9f6196e8d841af7a9ae0bccbb165c06f92a3fd7a7eb8f0054bd13a4,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
68,25000,0,-1,GENERATED,9ce822e9ee3049c416d0af741c2d625ec39d2acd3ace02af3c9a9807d517079a,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
69,25000,0,-1,GENERATED,c4cf8f50b6b9aec02014dda68b6ca857cb09e8bde57ab234c1e647b26a439b2e,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
70,25000,0,-1,GENERATED,b05f2dc4fd7d34a33d2c4bc1785f5e575974229310e877e8e56cf06086d1996e,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
71,25000,0,-1,GENERATED,1623acfb9b49e9c384912e4bf8276da95af7bf63f61c4d726817ae0607069070,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
72,25000,0,-1,GENERATED,555b5690ddffb198933bdd3c8d122b126301b95e155fc2b3446f96007dc679f6,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
73,25000,0,-1,GENERATED,c5415494e42e1ed46ecec449322752c47b44068ead221e397e41523c493b1a75,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
74,25000,0,-1,GENERATED,a631e6321afcba7192087c5570a1c85d3dd96d9df9f1af4986edc61ccc7922ad,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
75,25000,0,-1,GENERATED,cfd2741f1442ce8d159665e44e8389d00e4e2d2a10548cb56b200170249c5289,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
76,25000,0,-1,GENERATED,28ab8e615e3ff1d29f440ae5e548cd997d5cd16b628e6e26a00a00c18d729779,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
77,25000,0,-1,GENERATED,7ff14429ff14750846d66b0db3c552a38b9c11d6a3b33830962d28dcdbe6f189,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
78,25000,0,-1,GENERATED,b15b115bdf5eefee6a6743a5554004675a1a14e08d48b72c147c357a676ec2b0,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
79,25000,0,-1,GENERATED,244611610f987e905eae023d92d27974e05c808fff47a724cc036db85debb7d8,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
80,25000,0,-1,GENERATED,061b9a701c1a3f2f8111c42d22e28ba1e9b65f36eef143b7712751832006e86a,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
81,25000,0,-1,GENERATED,bb56d8a8664f3ba8cb456dab0a1ae88286cce09327f2eabf73b0b31ee793bfb3,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
82,25000,0,-1,GENERATED,6dd4feab56a035996dd6124c2296b664b65e3d2ee28103d91b4ab687f1956cfb,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
83,25000,0,-1,GENERATED,9d1999d8c00d64fd9ae0b3e191b40fbe39e008a25ada3620165f01f585c60223,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
84,25000,0,-1,GENERATED,c15273ca169a434852135e3fa76bd6f088628eebcc346ba5004620905d884ee5,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
85,25000,0,-1,GENERATED,313089cfbda79f9962e98649540dcab9e0fc6cbba38898d1239a6cd9aa197e0c,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
86,25000,0,-1,GENERATED,2211c69c44a351b441cfd2cc8344825654d26aeeda7f81d60d83dbb2e241bdcd,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
87,25000,0,-1,GENERATED,f302f26b3a20c8342973dc0ff1da66015f2cd57fb8e698e1b4bc0695bc7a26d0,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
88,25000,0,-1,GENERATED,d7d1040a5eaa8b4d42eb025d43457c41afe20e042a79b666230e0519e2244af4,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
89,25000,0,-1,GENERATED,f9c663ec901fd85f80970b6c33e95f019a3025a87a9a683feaf14fbb3e9baee9,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
90,25000,0,-1,GENERATED,de22bb4ad6069e549c5794a07b7445fe39f1f9f4f171fa53cfe4c3ee06e0d237,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
91,25000,0,-1,GENERATED,915f92f9a3ade105291c732b80fce6b62ee7e14ef7c64897b462d9e4e858ae0d,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
92,25000,0,-1,GENERATED,7a6b5076e6626063bb4c28c866c9da4369907817ac7d3360ab6b47b355314017,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
93,25000,0,-1,GENERATED,0d9c1dbdeb2d14c072474436e1e6d961e428c93f643eec7c72fcf846cd994047,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
94,25000,0,-1,GENERATED,b627008bca1a70995274c154fe229aa91150fb1c76e6e48b48193db45ec8408c,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
95,25000,0,-1,GENERATED,ebf9c4ff982344f3bc864c2c54bf831acb3ea00d68fc24408fad75f08f72dd3e,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
96,25000,0,-1,GENERATED,0929daff7c903cf80e2005c3572c7e92a75e1a4bc0101ac0d4cf492ede22c4cc,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
97,25000,0,-1,GENERATED,aed83397e0703a84a0834a7587cd807a931cd5fc7c64dcbca6e926c10f47df4c,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
98,25000,0,-1,GENERATED,4499ddb54f55a67748a06155bcaf07de66e4a858ea76ffcabcb75eaa2bbacfc9,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
99,25000,0,-1,GENERATED,0aaa44daaee33746dfdb4506257ab69bb7719b74e34f975e97d86adee40a92fb,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
100,25000,0,-1,GENERATED,8ab53fd11d30aeef0c3b467e9571dd5d1cb3652be91e29be107c5b846b3e2b45,-1,NOT_APPLICABLE,NA,INITIAL_POPULATION
100,25000,0,0,QG_TEACHER,3b3655d1e9e00cb02cbacb1afa869bff027cec329b27c9ceb1838fe8980692a3,-1,NOT_APPLICABLE,0,G1_CMAX
100,25000,0,0,QG_TEACHER,c4cf8f50b6b9aec02014dda68b6ca857cb09e8bde57ab234c1e647b26a439b2e,-1,NOT_APPLICABLE,0,G4_BALANCED
100,25000,0,0,QG_TEACHER,0152f836c464b49f2c20afa628864ccc8f6c46f2f2f5381435e4cf2797fd9d56,-1,NOT_APPLICABLE,0,G2_TEC
100,25000,0,0,QG_TEACHER,ec8c866abec8da3b1e46a4a4af8155db34f193f3893a7b4385b263c487b491f1,-1,NOT_APPLICABLE,0,G3_TWC
101,25000,0,0,GENERATED,80a75513ed065616ac554663bad2ab3ffca28ca5aac12130faa2f200d190e612,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
102,25000,0,0,GENERATED,c58067a248892a2aaa5fb5974b9b732f61ebb054b79bb1cbeabe24ac57bee753,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
103,25000,0,0,GENERATED,5d54dd3361fabf5e02ade02819a48f6eb1d1b44a27f19ca005e62e7efc246edd,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
104,25000,0,0,GENERATED,da60d833340b10fc093a5a428a858058d93c72e93c54c92b466f0797e7e5e21f,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
105,25000,0,0,GENERATED,9f21287535ccfbe2df22bdc6021e678e830a62bb1a8e639b1c020e2f4dc67431,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
106,25000,0,0,GENERATED,c602d9ec39b17ab1bf19f2abb5a97b93b01ff96b38d4034d2d77c5dd6e16120f,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
107,25000,0,0,GENERATED,79bd84ddd6a3d44dbe06d21cacf1321aad053e5c8cfd39802f5c96e3d0f83453,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
108,25000,0,0,GENERATED,2ac5317609c98dd9f9fabd22e9fef4bfc1e9b7d02421363ff532e61e043073b3,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
109,25000,0,0,GENERATED,efd984288087ae085b779dd99edad4b36288e62be8590f1de598fd857a3ec5ca,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
110,25000,0,0,GENERATED,91c98fbceb6d536b050709493a08eb9399ce0c9d424bef60fd7cd16de6a868de,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
111,25000,0,0,GENERATED,6968c39317e1d338aa9c249d3b9d8a803310ea29636fff33a4215a17e0b9ad2e,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
112,25000,0,0,GENERATED,cd43c42ddd273ab82ef9a4fcf73613ac64d45ab106ca5338a7ae238c1b91424a,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
113,25000,0,0,GENERATED,0f59360ab99c60f52786a6b05500b1f3bb4cca4c6c096860156abc882687dfac,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
114,25000,0,0,GENERATED,a158feba07556f271ed4803f0e4e69bb207bec8d3817374bd93b6096454aba84,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
115,25000,0,0,GENERATED,bcdeb424de947f13bcea6b7fe7e125484f0f756510d60891d17865531f7276c0,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
116,25000,0,0,GENERATED,6ef98d2ca78c31138f13f654b04041fff873018624fc392941401d09c0f4c8f1,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
117,25000,0,0,GENERATED,9d797c16ec1e9fba89576c9e2275cf2a83de1faee57b31b3857f33d670978314,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
118,25000,0,0,GENERATED,c50a3848a6855c4ad44ddf4e753a76c073c7d0e0e2d7f5e012b59b14a5e76ddd,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
119,25000,0,0,GENERATED,470a138c6b37435c4371e0f45e2696fa3215dfcca5899f6e9ab89b3ecd4b9f5b,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
120,25000,0,0,GENERATED,df72a5cffdbb4caa07c80eb9fbcedef127b1df7f8a3f286956ec907dd7173a96,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
121,25000,0,0,GENERATED,ae87e45f4c2ce9dce66657fb83fdcd956df857cbded98e872db13be5310d97af,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
122,25000,0,0,GENERATED,4f236eaa74596f5ead0a0cc66355a96805c1192f0a2828aa2cdd63b88bce81f3,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
123,25000,0,0,GENERATED,0a0efd9c9a8605ce1ba21ca9ce5ed136c332230d2876c7f593f526947b0d10b6,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
124,25000,0,0,GENERATED,93225c2d9f76537ea8bbc3d2c67de6f2a3407e7d68fc080ac052c2aded3f0f52,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
125,25000,0,0,GENERATED,da652677b8f19d038a2abdff82f080937b4e2b2483e09f68c715b271d06e50f0,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
126,25000,0,0,GENERATED,8038b93eeff86da44befa851593152d30ca1149ae2998df92bdaa003f7c8faf2,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
127,25000,0,0,GENERATED,e86031d0acfc131bb8488b89f32e5dee7db4d466a7653b5851c02c7c8e213e45,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
128,25000,0,0,GENERATED,76a0a47e4fb1bb3f912d02bbb0ea4337c8ad67f63802161cd7239ab6d2b8e0d2,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
129,25000,0,0,GENERATED,c976b0fd3f4ac1d3a34bf366c4d4141af4833616225628e93c23a8498a6d2386,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
130,25000,0,0,GENERATED,11fa7a631d03f95216433eb7e9bb10cfe278ad12d2c6667e8d8c165afd40e4c5,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
131,25000,0,0,GENERATED,e35ec48f923f468ee4f27efdb439e5e79432da28561c7b4166b99059c568d7cc,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
132,25000,0,0,GENERATED,25812b5dec431db093ffc59b4d48522b9406aec99e64bc1beddf5628fb9bbef0,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
133,25000,0,0,GENERATED,9248c424513470aaab31cbaa33a19295209196a616003ef7373a48a79228a6a5,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
134,25000,0,0,GENERATED,30dd603cfd9928a9c4a314bf026e83c6a73155cc3364d92da9bb5f6af9d8f406,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
135,25000,0,0,GENERATED,40a9829a0b44dab78992a0e88ee289cfd6335f370d2c7302f2a641c43d0962ce,-1,GLOBAL_CFVF,NA,GLOBAL_CFVF
