outerCycle,fe,poolIndex,selectorSource,candidateFingerprint,enteredMergePool,selectedByPddr,selectedRank,pddrScore
1,7006,1,GLOBAL_OFFSPRING,78e2c0e5ab87000d737daecea11f989e0a687b1d845aaf0ae51ae9833cc0297c,true,true,9.0,0.009708737864077669
1,7006,2,GLOBAL_OFFSPRING,7ad87c52ca8ecdb04517b87e0114d724bcecffa5047c7677d5de84dbe45157ee,true,true,22.0,1.0104166666666667
1,7006,3,GLOBAL_OFFSPRING,4347251370157436f4fd2ccf8568ade3c48bb4d4ae34d1bd14fddbfaa5fd76f4,true,false,-1.0,NOT_EXPORTED_AT_POOL_LEVEL
1,7006,4,GLOBAL_OFFSPRING,48250e2640bc59676252b245b29290465ca6e53f76964cfe5f10dd72a978c6e5,true,true,4.0,0.005681818181818182
1,7006,5,GLOBAL_OFFSPRING,f9ad33f9f8c0198957f01531811034912bb71050a7c51588955184fde1ebc6e8,true,true,39.0,4.006578947368421
1,7006,6,GLOBAL_OFFSPRING,484b900a68663cbc00bc15c7d045ef1519719e659a544f6701cbafd9be83926c,true,true,83.0,14.013333333333334
1,7006,7,GLOBAL_OFFSPRING,a340dec4d235b95ac2750ef0037bd04ab23942a1853e194ea1629800ad70fe6f,true,true,71.0,11.008474576271187
1,7006,8,GLOBAL_OFFSPRING,6fd73740ca2b9baae0ed77ad7fdbb254f0a2ae3910c6ca6600ba9d9c05435c37,true,true,92.0,16.00943396226415
1,7006,9,GLOBAL_OFFSPRING,2f7101e6c1f0f680f0bee9aeeb0c9c84e82cfb9d5574d77221b1d6e648e5c5d7,true,false,-1.0,NOT_EXPORTED_AT_POOL_LEVEL
1,7006,10,GLOBAL_OFFSPRING,25d3be9495388f6eac4b2bfea4f4e4300cd63b0bc94f388cf5aaaef9ce90cb4d,true,false,-1.0,NOT_EXPORTED_AT_POOL_LEVEL
1,7006,11,GLOBAL_OFFSPRING,9ddc3ba926a576d9b333a58820dc2c1ab505e6b5bac5426373bb14b90108fb9b,true,true,72.0,11.008849557522124
1,7006,12,GLOBAL_OFFSPRING,6a88bdbab061723e19044bbf5ff5d45d6d31d7fe9ce4c2a1289516b75c1d8146,true,true,27.0,2.0063694267515926
1,7006,13,GLOBAL_OFFSPRING,0df4e7186a161ba54bbfa1568283a3fb6f08d2e378d6a4501177a20a32006a09,true,false,-1.0,NOT_EXPORTED_AT_POOL_LEVEL
1,7006,14,GLOBAL_OFFSPRING,9f149408d647f8367c97039751b07dea5af3501d3856bda3a750b677d267e376,true,true,18.0,1.00625
1,7006,15,GLOBAL_OFFSPRING,f4c876301a2990939b978fb774b0ca821b52f36c9c5a629513bfd1241bb95e45,true,true,48.0,6.013333333333334
1,7006,16,GLOBAL_OFFSPRING,aa8bce24132c42be24ccf0bd66361179edea7dbe981f62c2b0e3611eea3b33bb,true,true,5.0,0.005681818181818182
1,7006,17,GLOBAL_OFFSPRING,7bf149ee408414c1d0bdc8aa799e705451c4d7e1923c5c402019943498b86d39,true,false,-1.0,NOT_EXPORTED_AT_POOL_LEVEL
1,7006,18,GLOBAL_OFFSPRING,f7e6d5f93241fa995b5222c61ffacde84a791a115693ef02e00943f6ee97d81f,true,true,86.0,15.012048192771084
1,7006,19,GLOBAL_OFFSPRING,cc3df1472975804c0e1776d0e09a9ec3b0e08e25f0c10d28038284c64ce660d8,true,true,23.0,1.0113636363636365
1,7006,20,GLOBAL_OFFSPRING,2176cdbc12842dc344556418946bd3f0a2aa3cc618c7d0469c1f83ffdb473497,true,false,-1.0,NOT_EXPORTED_AT_POOL_LEVEL
1,7006,21,GLOBAL_OFFSPRING,83bb471ca84975245f6f59027621dfe75dd4a899b6bb9f2bd61a618dfba81048,true,false,-1.0,NOT_EXPORTED_AT_POOL_LEVEL
1,7006,22,GLOBAL_OFFSPRING,024b71c93577f8df403e43624ccf9dee5f21b650e6d798149080b50ffc9f9d79,true,true,38.0,3.025
1,7006,23,GLOBAL_OFFSPRING,4dff70360094eef5e4dcdffda0a455753e0c8f3b7997b47f48af758d3d6fafd9,true,true,19.0,1.006993006993007
1,7006,24,GLOBAL_OFFSPRING,ca24f9f4633c59992779cbd8c5cb0d15c67438f6d4ccfbf5199bd8e83cd31a22,true,false,-1.0,NOT_EXPORTED_AT_POOL_LEVEL
1,7006,25,GLOBAL_OFFSPRING,325ac936ac9fc2e4c4b1ff36a9702178ed9b22552d401893fc22fb4052d788a4,true,true,7.0,0.006211180124223602
1,7006,26,GLOBAL_OFFSPRING,eeaa500d49e49b813e1c61f1ab5c6b89cd03c52bead51a097087d11145341f89,true,true,97.0,18.01219512195122
1,7006,27,GLOBAL_OFFSPRING,8010002cb21d1b370b647f4684b6b08a96dacfd93c0a4b4b398aa0a4acf0aa4a,true,false,-1.0,NOT_EXPORTED_AT_POOL_LEVEL
