checkpointTargetFE,checkpointObservedFE,overshootFE,evaluationCounterFE,frontType,frontSize
0,0,0,0,b0-decision-front,11
0,0,0,0,b0-observed-full-front,11
25000,25000,0,25006,checkpoint-decision-front,133
25000,25000,0,25006,checkpoint-observed-full-front,251
50000,50000,0,50044,checkpoint-decision-front,221
50000,50000,0,50044,checkpoint-observed-full-front,418
75000,75000,0,75032,checkpoint-decision-front,269
75000,75000,0,75032,checkpoint-observed-full-front,403
100000,100000,0,100000,checkpoint-decision-front,303
100000,100000,0,100000,checkpoint-observed-full-front,441
125000,125000,0,125015,checkpoint-decision-front,376
125000,125000,0,125015,checkpoint-observed-full-front,573
150000,150000,0,150092,checkpoint-decision-front,377
150000,150000,0,150092,checkpoint-observed-full-front,551
175000,175000,0,175066,checkpoint-decision-front,384
175000,175000,0,175066,checkpoint-observed-full-front,526
200000,200000,0,200063,checkpoint-decision-front,378
200000,200000,0,200063,checkpoint-observed-full-front,509
225000,225000,0,225074,checkpoint-decision-front,358
225000,225000,0,225074,checkpoint-observed-full-front,536
250000,250000,0,250000,checkpoint-decision-front,393
250000,250000,0,250000,checkpoint-observed-full-front,610
275000,275000,0,275000,checkpoint-decision-front,381
275000,275000,0,275000,checkpoint-observed-full-front,530
300000,300000,0,300014,checkpoint-decision-front,393
300000,300000,0,300014,checkpoint-observed-full-front,536
325000,325000,0,325094,checkpoint-decision-front,375
325000,325000,0,325094,checkpoint-observed-full-front,532
350000,350000,0,350000,checkpoint-decision-front,364
350000,350000,0,350000,checkpoint-observed-full-front,508
375000,375000,0,375000,checkpoint-decision-front,362
375000,375000,0,375000,checkpoint-observed-full-front,523
400000,400000,0,400036,checkpoint-decision-front,360
400000,400000,0,400036,checkpoint-observed-full-front,548
425000,425000,0,425000,checkpoint-decision-front,364
425000,425000,0,425000,checkpoint-observed-full-front,510
450000,450000,0,450000,checkpoint-decision-front,350
450000,450000,0,450000,checkpoint-observed-full-front,528
475000,475000,0,475000,checkpoint-decision-front,374
475000,475000,0,475000,checkpoint-observed-full-front,553
500000,500000,0,500000,terminal-decision-front,387
500000,500000,0,500000,terminal-observed-full-front,567
