tag,instance,arm,seed,budget,fullEvaluations,frontSize,HV,IGD,SP,minCmax,minTEC,minTWC,outerCycles,localFraction,localFE,qgTdUpdates,qpTransitions,caTaLiteTest,caTaLiteApply,cfvfOffspring,fm3Previews,proxyPreviews,runNanos,runSeconds
fc2-500k-local,20_2_3_1,legacy,20260822,500000,500000,370,0.869661,0.05274,74.894755,173.59,8436.16,12582.85,18,0.812604,406302,2000,40000,2274,1324,90000,3482,5400,143162010600,143.1620106
fc2-500k-local,20_2_3_1,legacy,20260823,500000,495633,324,0.828169,0.070509,77.554548,191.06,8536.26,12638.93,18,0.8094618397080098,401196,2000,40000,3246,1091,90000,3161,0,99374525200,99.3745252
fc2-500k-local,20_2_3_1,legacy,20260824,500000,500000,398,0.865338,0.052295,76.289497,191.57,8479.66,12416.74,18,0.811628,405814,2000,40000,2917,1169,90000,3275,0,120281024800,120.2810248
fc2-500k-local,20_2_3_1,pacing,20260822,500000,500000,622,0.893837,0.041077,51.633924,188.39,8303.47,12737.04,62,0.354932,177466,6960,136000,7894,4540,310000,11893,18600,1092541673500,1092.5416735
fc2-500k-local,20_2_3_1,pacing,20260823,500000,500000,613,0.929646,0.024501,62.951474,175.7,8339.28,12457.12,62,0.35081,175405,6960,136000,10608,3887,310000,10942,0,976917637800,976.9176378
fc2-500k-local,20_2_3_1,pacing,20260824,500000,500000,601,0.868768,0.049083,63.271264,195.7,8355.0,12421.85,62,0.353168,176584,6960,136000,9048,4268,310000,11620,0,1131338954200,1131.3389542
fc2-500k-remote,10_2_3_1,legacy,20260822,500000,498052,150,0.888329,0.048584,8.374287,49.16,2735.95,3291.09,18,0.8093030446620032,403075,2000,40000,3966,911,90000,3098,0,69234059024,69.234059024
fc2-500k-remote,10_2_3_1,legacy,20260823,500000,500000,159,0.857372,0.064348,8.34165,48.06,2730.62,3316.0,20,0.789506,394753,2200,45000,4042,1105,100000,3454,0,83061156355,83.061156355
fc2-500k-remote,10_2_3_1,legacy,20260824,500000,500000,200,0.91794,0.046404,6.061868,47.92,2734.92,3267.9,20,0.789808,394904,2200,45000,3844,1152,100000,3635,0,99085349130,99.08534913
fc2-500k-remote,10_2_3_1,pacing,20260822,500000,500000,188,0.936671,0.035207,10.628387,47.96,2722.42,3286.31,62,0.346586,173293,6960,136000,13395,3212,310000,10548,0,257337847901,257.337847901
fc2-500k-remote,10_2_3_1,pacing,20260823,500000,500000,277,0.91493,0.044547,7.011619,48.06,2728.66,3290.04,62,0.34678,173390,6960,136000,13283,3227,310000,10674,0,378055320715,378.055320715
fc2-500k-remote,10_2_3_1,pacing,20260824,500000,500000,219,0.92776,0.036418,5.988394,47.62,2722.35,3292.96,62,0.34848,174240,6960,136000,12147,3513,310000,10858,0,400442417486,400.442417486
fc2-500k-remote,20_2_3_1,legacy,20260822,500000,500000,370,0.869661,0.05274,74.894755,173.59,8436.16,12582.85,18,0.812604,406302,2000,40000,2274,1324,90000,3482,0,263537347512,263.537347512
fc2-500k-remote,20_2_3_1,legacy,20260823,500000,495633,324,0.828169,0.070509,77.554548,191.06,8536.26,12638.93,18,0.8094618397080098,401196,2000,40000,3246,1091,90000,3161,0,207130433933,207.130433933
