instance,scale,seed,deltaCmax,deltaTEC,deltaTWC,deltaHV,deltaIGD,cA4A2,cA2A4
100_2_4_1,100,20260901,0.03211757590218985,-0.04709943389204232,-0.02365486840000285,-0.2707829413866996,-0.4874992620439564,0.01680672268907563,0.7005813953488372
100_2_4_1,100,20260902,0.04573233760122573,-0.04428490914118366,0.023916983303166217,0.1661861256324341,0.6795065032211272,0.4873417721518987,0.12740384615384615
100_2_4_1,100,20260903,0.00424931538446576,-0.03559886765191975,-0.000636781265482266,-0.01699800396361732,-0.09129195390060432,0.3693181818181818,0.2
100_2_4_1,100,20260904,0.047729112852462396,0.010107624425860986,0.02331832054896076,0.41783549907180767,0.6624480728261011,0.9551282051282052,0.0
100_2_4_1,100,20260905,0.011634262765788413,-0.007902355333284828,0.008087275594613084,0.13285148254184678,0.3554998101477061,0.9642857142857143,0.0
100_5_3_1,100,20260901,0.03911730376866061,-0.026803296860332424,-0.0649775951407936,-0.31554307065117104,-1.7503285142217369,0.0,0.9560723514211886
100_5_3_1,100,20260902,0.016483371409135052,-0.00490173622748615,-0.002461210562747416,0.009571065807393636,0.02912633009062815,0.7007299270072993,0.10526315789473684
100_5_3_1,100,20260903,0.022095946315231693,-0.002550234926645501,-0.006953220259949346,-0.043616658001989536,-0.06912407687517415,0.32019704433497537,0.6097560975609756
100_5_3_1,100,20260904,0.021375230361438916,-0.025334174361848035,0.005171872452464141,-0.1296373342330454,-0.7631458265976503,0.060810810810810814,0.7168674698795181
100_5_3_1,100,20260905,0.01799802898048031,-0.03165783123936357,-0.07013765799766804,-0.2855071647763136,-1.725511616045513,0.05863192182410423,0.44386422976501305
20_2_4_1,20,20260901,-0.01577055340656773,-0.013800278148289926,0.015819804461766396,-0.007755579562145101,0.0740849623605889,0.5038759689922481,0.3487544483985765
20_2_4_1,20,20260902,0.013383890142745212,0.007549679200738191,-0.0007870656342824579,0.06530446948829455,0.362084212503017,0.7056277056277056,0.09978308026030369
20_2_4_1,20,20260903,0.023876040417024035,0.021807174369183255,-4.612464714639479e-05,0.0976301283648066,0.5376878666855084,0.7010309278350515,0.09109730848861283
20_2_4_1,20,20260904,0.09011801091831685,0.0046942329729870134,0.014796914284371626,0.06976554282082614,0.1406198399390249,0.6257668711656442,0.185589519650655
20_2_4_1,20,20260905,-0.01799389700062057,-0.0003620415681036819,0.027373702600863362,0.1951826774320118,0.8164246527549763,0.9051094890510949,0.012195121951219513
20_5_3_1,20,20260901,-0.01924059620520061,-0.013884778036486222,0.007487717457918877,-0.04552774833570376,-0.14065641320951133,0.3772893772893773,0.1798780487804878
20_5_3_1,20,20260902,0.0832953058248222,0.0017769754843942102,0.014082561594706354,0.11947870150267417,0.3362656131479092,0.4826254826254826,0.2088607594936709
20_5_3_1,20,20260903,0.008561551082201663,-0.005699334219769228,0.019033124441264645,0.06194233099365452,0.12091831718254335,0.5,0.16164383561643836
20_5_3_1,20,20260904,-0.016692108654003744,-0.0026507411388778136,0.018767667234764796,-0.024828072602593208,0.02809829121188383,0.4740061162079511,0.5292929292929293
20_5_3_1,20,20260905,0.012508969836458357,0.02770588979311503,-0.01570141132960967,0.28020088260414994,0.7305667244546181,0.9695121951219512,0.0
50_2_4_1,50,20260901,0.09937392076328035,-0.03585813486950035,0.05270951160013418,0.12957237740011307,0.45687571967238866,0.7975077881619937,0.003875968992248062
50_2_4_1,50,20260902,0.05511628558885584,-0.020548303579928002,0.015164110888303148,0.020491304897723616,0.07071036382805995,0.714902807775378,0.14614773629864972
50_2_4_1,50,20260903,0.07866988889976406,-0.1454758590021525,-0.041105609081320986,-0.10998487722382956,-0.10390347311097829,0.2088607594936709,0.000778816199376947
50_2_4_1,50,20260904,0.09883608789243159,-0.026071324105740947,-0.00794128161056472,-0.07423360007899135,-0.21254732493158895,0.16263736263736264,0.42546245919477693
50_2_4_1,50,20260905,-0.024373437787058774,-0.02962610987972572,0.09065820161319156,-0.04089342132061373,-0.2973466013091927,0.21705426356589147,0.5205930807248764
50_5_3_1,50,20260901,0.01583981560758967,0.006792033525548743,0.035054087370533546,0.45460510910119173,0.6934354788999535,1.0,0.0
50_5_3_1,50,20260902,0.008573905486714708,0.014744896118326701,0.05020140941451132,0.0657264054906019,0.18545847156838208,0.19333333333333333,0.3422330097087379
50_5_3_1,50,20260903,0.004238425631884634,-0.005054629411311421,-0.02221055461180987,-0.07601733566696343,-0.3410978317997711,0.20948616600790515,0.3800738007380074
50_5_3_1,50,20260904,0.002637655851223239,0.008989260278871203,0.029916279725591827,0.026199843884490537,0.28119155236427734,0.43059490084985835,0.2297979797979798
50_5_3_1,50,20260905,0.03490890404840578,-0.016888161941621658,0.00472012091615648,-0.06622889729204544,-0.2757203482639278,0.0576271186440678,0.69140625
