scale,pairs,medianDeltaCmax,medianDeltaTEC,medianDeltaTWC,medianDeltaHV,medianDeltaIGD
20,10,0.01053526045933001,0.0007074669581452641,0.01443973793953899,0.06753500615456035,0.23844272654346704
50,10,0.025374359827997725,-0.01871823276077483,0.022540195306947487,-0.010201058211445057,-0.01659655464145917
100,10,0.021735588338335304,-0.02606873561109023,-0.001548995914114841,-0.03030733098280343,-0.08020801538788924
