instance,scale,seed,arm,hv,igd,igdPlus,spacing,frontSize,frontRawSize,minCmax,minTEC,minTWC,actualFE,utilizationRate,algorithmRunSeconds,referenceSize,idealCmax,idealTEC,idealTWC,nadirCmax,nadirTEC,nadirTWC
100_2_4_1,100,20260901,A2,0.7306963639664148,0.14522209060387703,0.13375005562461886,0.07070473531475813,238,238,620.1836997274739,41089.95572985742,66667.75275693196,500000,1.0,220.447551367,785,586.8569880405939,40353.5567553506,64864.39787642927,1020.2601084257517,49129.32369578796,77530.07023783527
100_2_4_1,100,20260901,A4,0.5328362532710226,0.21601775260574765,0.21028871028538398,0.01883498689836532,344,344,600.2649026781759,43025.26938338279,68244.76967492112,500000,1.0,777.368504388,785,586.8569880405939,40353.5567553506,64864.39787642927,1020.2601084257517,49129.32369578796,77530.07023783527
100_2_4_1,100,20260902,A2,0.6935956685870694,0.20975212018806852,0.19396236893647775,0.03360627732474082,158,158,614.9815310364726,40353.5567553506,66453.77162276332,500000,1.0,216.584208359,785,586.8569880405939,40353.5567553506,64864.39787642927,1020.2601084257517,49129.32369578796,77530.07023783527
100_2_4_1,100,20260902,A4,0.8088616455049923,0.06722419045585648,0.05236670378484193,0.022094312204915197,416,416,586.8569880405939,42140.610349784896,64864.39787642927,500000,1.0,684.339673016,785,586.8569880405939,40353.5567553506,64864.39787642927,1020.2601084257517,49129.32369578796,77530.07023783527
100_2_4_1,100,20260903,A2,0.7783336589309433,0.08829471723923087,0.08167685915493211,0.04393036695606032,176,176,598.5782982772212,40845.83541478329,65861.34676501565,500000,1.0,207.815466162,785,586.8569880405939,40353.5567553506,64864.39787642927,1020.2601084257517,49129.32369578796,77530.07023783527
100_2_4_1,100,20260903,A4,0.7651035403114184,0.09635531449510162,0.08435687670771581,0.014034451001689619,500,500,596.0347503055444,42299.900903846254,65903.28603675505,500000,1.0,929.010694384,785,586.8569880405939,40353.5567553506,64864.39787642927,1020.2601084257517,49129.32369578796,77530.07023783527
100_2_4_1,100,20260904,A2,0.5917589121381649,0.2292195117057124,0.22573079680057545,0.023854701772473987,156,156,623.2760352710166,41457.767849159776,66917.3269176606,500000,1.0,210.63730417,785,586.8569880405939,40353.5567553506,64864.39787642927,1020.2601084257517,49129.32369578796,77530.07023783527
100_2_4_1,100,20260904,A4,0.839016792521605,0.07737348792212331,0.06441151696406308,0.02705386433783919,368,368,593.5276230453309,41038.728302205935,65356.92723831499,500000,1.0,717.517413925,785,586.8569880405939,40353.5567553506,64864.39787642927,1020.2601084257517,49129.32369578796,77530.07023783527
100_2_4_1,100,20260905,A2,0.6814763476160106,0.1196644553196217,0.1144280346805496,0.022336768082452847,224,224,612.2935320301322,42366.801874774304,66320.36476235918,500000,1.0,208.516033072,785,586.8569880405939,40353.5567553506,64864.39787642927,1020.2601084257517,49129.32369578796,77530.07023783527
100_2_4_1,100,20260905,A4,0.7720114907140005,0.07712376417206752,0.057910794900015466,0.009177924993495021,561,561,605.1699481887009,42701.59939752365,65784.01369499072,500000,1.0,831.600744933,785,586.8569880405939,40353.5567553506,64864.39787642927,1020.2601084257517,49129.32369578796,77530.07023783527
100_5_3_1,100,20260901,A2,0.810244195451609,0.057804242003353344,0.03433870418408025,0.013508841131166516,412,412,785.8860947070074,110886.10210120303,288977.5076913002,500000,1.0,363.298488016,757,755.144349612787,110254.658096021,286005.04205418704,1483.1764464620087,129014.9215496972,361084.4776851587
100_5_3_1,100,20260901,A4,0.5545772540415207,0.15898065502479652,0.15218143966781564,0.012980054971829412,387,387,755.144349612787,113858.2152135067,307754.57119086105,500000,1.0,989.444694933,757,755.144349612787,110254.658096021,286005.04205418704,1483.1764464620087,129014.9215496972,361084.4776851587
100_5_3_1,100,20260902,A2,0.6403716313591974,0.12533885248500543,0.11762876202054766,0.01704850444664391,274,274,770.6233132458055,113506.32992054417,294102.33318207704,500000,1.0,335.927106328,757,755.144349612787,110254.658096021,286005.04205418704,1483.1764464620087,129014.9215496972,361084.4776851587
100_5_3_1,100,20260902,A4,0.6465006703841243,0.12168819169434661,0.1114638217987415,0.013419541751964612,399,399,757.9208429570367,114062.7080099647,294826.1809510334,500000,1.0,969.614459493,757,755.144349612787,110254.658096021,286005.04205418704,1483.1764464620087,129014.9215496972,361084.4776851587
100_5_3_1,100,20260903,A2,0.782730694039922,0.08810973340393778,0.05989540724833849,0.02317915215740049,203,203,785.2108705953339,110433.33532685453,295167.11581473186,500000,1.0,324.18229631,757,755.144349612787,110254.658096021,286005.04205418704,1483.1764464620087,129014.9215496972,361084.4776851587
100_5_3_1,100,20260903,A4,0.7485905970503228,0.09420023738920268,0.0761944373091805,0.018949462145342825,369,369,767.860893352523,110714.96627567103,297219.4777844857,500000,1.0,963.786886594,757,755.144349612787,110254.658096021,286005.04205418704,1483.1764464620087,129014.9215496972,361084.4776851587
100_5_3_1,100,20260904,A2,0.7891016061375121,0.06512127679364824,0.043301782390184805,0.017150665365128954,296,296,782.7411175938282,111250.28903303617,291564.7678278416,500000,1.0,337.174462947,757,755.144349612787,110254.658096021,286005.04205418704,1483.1764464620087,129014.9215496972,361084.4776851587
100_5_3_1,100,20260904,A4,0.6868045774788305,0.1148183074014313,0.09757151729589338,0.012909652284265717,332,332,766.00984589189,114068.7232532051,290056.8320370037,500000,1.0,873.190371528,757,755.144349612787,110254.658096021,286005.04205418704,1483.1764464620087,129014.9215496972,361084.4776851587
