instance,scale,seed,arm,hv,igd,igdPlus,spacing,frontSize,frontRawSize,minCmax,minTEC,minTWC,actualFE,utilizationRate,algorithmRunSeconds,referenceSize,idealCmax,idealTEC,idealTWC,nadirCmax,nadirTEC,nadirTWC
100_5_3_1,100,20260905,A2,0.8218242348570441,0.05018443864028053,0.04026670032903979,0.017260995478543106,307,307,782.0194021551329,110254.658096021,286005.04205418704,500000,1.0,317.238999368,757,755.144349612787,110254.658096021,286005.04205418704,1483.1764464620087,129014.9215496972,361084.4776851587
100_5_3_1,100,20260905,A4,0.5871875276185462,0.13677827045880786,0.132348271155426,0.017455752116567202,383,383,767.9445942918469,113745.08145537856,306064.7658793923,500000,1.0,814.255690289,757,755.144349612787,110254.658096021,286005.04205418704,1483.1764464620087,129014.9215496972,361084.4776851587
20_2_4_1,20,20260901,A2,0.9769433965833918,0.09701264911930417,0.08824191965735065,0.022607532244312206,258,258,103.94959539547753,6809.943104505459,13111.838248196385,500000,1.0,61.228199327,873,99.21329398161089,6751.733016021211,12865.257966301446,286.746416047021,9114.09184677805,18189.746780393754
20_2_4_1,20,20260901,A4,0.969366634343477,0.0898254706607995,0.07743638579192487,0.018128032462698482,281,281,105.58893804125302,6903.922213521663,12904.411530975609,500000,1.0,256.964916751,873,99.21329398161089,6751.733016021211,12865.257966301446,286.746416047021,9114.09184677805,18189.746780393754
20_2_4_1,20,20260902,A2,1.0045284057296824,0.07143733731080566,0.0641154306354623,0.023760617605418626,231,231,107.87610078675823,6828.325453930032,13013.550324383552,500000,1.0,101.534008023,873,99.21329398161089,6751.733016021211,12865.257966301446,286.746416047021,9114.09184677805,18189.746780393754
20_2_4_1,20,20260902,A4,1.0701286003517816,0.0455710052873102,0.022550094685407602,0.014440310538474546,461,461,106.43229890480055,6776.773787274626,13023.79284262388,500000,1.0,368.296520516,873,99.21329398161089,6751.733016021211,12865.257966301446,286.746416047021,9114.09184677805,18189.746780393754
20_2_4_1,20,20260903,A2,0.96050520570282,0.0975566530316657,0.08995749968476575,0.020583070123941335,194,194,107.62513850855983,6941.773404248384,13111.995518692242,500000,1.0,83.570215269,873,99.21329398161089,6751.733016021211,12865.257966301446,286.746416047021,9114.09184677805,18189.746780393754
20_2_4_1,20,20260903,A4,1.0542794522306513,0.04510162438209104,0.034948009724958026,0.015331636357403235,483,483,105.05547635164164,6790.392941190581,13112.600304858926,500000,1.0,337.315368572,873,99.21329398161089,6751.733016021211,12865.257966301446,286.746416047021,9114.09184677805,18189.746780393754
20_2_4_1,20,20260904,A2,0.9696650919697168,0.0856996467597737,0.07873501483274858,0.024016366064524085,326,326,109.03973830907887,6889.110392934308,13177.841132058831,500000,1.0,99.665629187,873,99.21329398161089,6751.733016021211,12865.257966301446,286.746416047021,9114.09184677805,18189.746780393754
20_2_4_1,20,20260904,A4,1.0373143034653904,0.07364857614958335,0.06543168652689885,0.014371657895958085,458,458,99.21329398161089,6856.771303773248,12982.84974637469,500000,1.0,304.943753045,873,99.21329398161089,6751.733016021211,12865.257966301446,286.746416047021,9114.09184677805,18189.746780393754
20_2_4_1,20,20260905,A2,0.9106367695870401,0.14044312646680743,0.11663941064080456,0.02192901925272482,137,137,106.7948717948718,6751.733016021211,13227.339216206623,498241,0.996482,70.582050009,873,99.21329398161089,6751.733016021211,12865.257966301446,286.746416047021,9114.09184677805,18189.746780393754
20_2_4_1,20,20260905,A4,1.0883772924430766,0.025781895709320952,0.018191019269708897,0.016556847808298157,574,574,108.7165277181432,6754.177424029749,12865.257966301446,500000,1.0,407.385315175,873,99.21329398161089,6751.733016021211,12865.257966301446,286.746416047021,9114.09184677805,18189.746780393754
20_5_3_1,20,20260901,A2,0.8548801446260988,0.10737793391554155,0.10108813036119796,0.025574663299113426,273,273,253.4805234346904,20996.340069223377,39524.01439475624,495113,0.990226,107.527376691,470,247.08141942992347,20715.099951397493,38640.86149744295,398.619242672473,24492.469635113634,54937.575805485205
20_5_3_1,20,20260901,A4,0.8159593765443718,0.12248132895794957,0.10240553552879016,0.024406217804178197,328,328,258.3576398319802,21287.869590663126,39228.069742165586,500000,1.0,323.039104951,470,247.08141942992347,20715.099951397493,38640.86149744295,398.619242672473,24492.469635113634,54937.575805485205
20_5_3_1,20,20260902,A2,0.8643620300680308,0.07550866892876285,0.06554655765902202,0.025150003302101848,259,259,269.53218522813347,20751.975703475313,39195.34028932727,495556,0.991112,100.337991136,470,247.08141942992347,20715.099951397493,38640.86149744295,398.619242672473,24492.469635113634,54937.575805485205
20_5_3_1,20,20260902,A4,0.9676348830487745,0.05011770007344993,0.03790597093933144,0.017050142426770384,474,474,247.08141942992347,20715.099951397493,38643.369495477345,500000,1.0,349.972552198,470,247.08141942992347,20715.099951397493,38640.86149744295,398.619242672473,24492.469635113634,54937.575805485205
20_5_3_1,20,20260903,A2,0.8720149091909403,0.08980207183413438,0.07580553519815555,0.02466372772532119,252,252,257.6312600238109,20907.294897198582,39485.487151578134,500000,1.0,98.32060332,470,247.08141942992347,20715.099951397493,38640.86149744295,398.619242672473,24492.469635113634,54937.575805485205
20_5_3_1,20,20260903,A4,0.9260295453274471,0.07894335642844498,0.0530076365562477,0.015322316618689885,365,365,255.42553683074507,21026.452558448993,38733.95496099819,500000,1.0,327.963797577,470,247.08141942992347,20715.099951397493,38640.86149744295,398.619242672473,24492.469635113634,54937.575805485205
20_5_3_1,20,20260904,A2,0.9342166209800152,0.08414135039644564,0.050285814179748464,0.021676854160078904,327,327,251.76083003296492,20792.50997184469,39463.435749393044,500000,1.0,111.94443374,470,247.08141942992347,20715.099951397493,38640.86149744295,398.619242672473,24492.469635113634,54937.575805485205
20_5_3_1,20,20260904,A4,0.9110218228877741,0.08177712223004516,0.07325646256096634,0.018263002912611383,495,495,255.96324916269734,20847.625533407587,38722.799119307914,500000,1.0,405.698919986,470,247.08141942992347,20715.099951397493,38640.86149744295,398.619242672473,24492.469635113634,54937.575805485205
20_5_3_1,20,20260905,A2,0.7942003821513053,0.14043392302007926,0.128021100855673,0.02944682388044431,164,164,253.5599899857621,21306.590393288898,38640.86149744295,500000,1.0,96.476883665,470,247.08141942992347,20715.099951397493,38640.86149744295,398.619242672473,24492.469635113634,54937.575805485205
20_5_3_1,20,20260905,A4,1.0167360301946542,0.03783757187698797,0.011176056730241319,0.021553073144667974,314,314,250.3882157192975,20716.272347985392,39247.57755794478,500000,1.0,279.412144772,470,247.08141942992347,20715.099951397493,38640.86149744295,398.619242672473,24492.469635113634,54937.575805485205
50_2_4_1,50,20260901,A2,0.7881433081033749,0.15531827601138998,0.14311200110827255,0.01977196655832509,321,321,281.08380333130117,17701.100024086663,37526.86441110498,500000,1.0,149.187915179,2775,250.34307455062475,16927.516078248787,34361.58552496728,1121.0100104816609,26319.809903880043,55119.08576512175
50_2_4_1,50,20260901,A4,0.8902649102663189,0.08435712688041148,0.05248329954759778,0.011020221951008598,1032,1032,253.15140373121497,18335.82845608888,35548.84171611118,500000,1.0,912.778010969,2775,250.34307455062475,16927.516078248787,34361.58552496728,1121.0100104816609,26319.809903880043,55119.08576512175
50_2_4_1,50,20260902,A2,0.8668855635662283,0.11441813005379757,0.10978180531207218,0.017744023911619212,463,463,264.9459089329735,18151.42016171011,35118.811329369244,500000,1.0,195.757000157,2775,250.34307455062475,16927.516078248787,34361.58552496728,1121.0100104816609,26319.809903880043,55119.08576512175
50_2_4_1,50,20260902,A4,0.8846491799606988,0.10632758244916726,0.09818754788729653,0.010297986000942654,1259,1259,250.34307455062475,18524.401053599755,34586.26578010529,500000,1.0,927.916226427,2775,250.34307455062475,16927.516078248787,34361.58552496728,1121.0100104816609,26319.809903880043,55119.08576512175
50_2_4_1,50,20260903,A2,0.9299330044528414,0.10654230466304261,0.1024941838654721,0.016899340804409878,790,790,287.0302912054988,16927.516078248787,34361.58552496728,500000,1.0,183.686173008,2775,250.34307455062475,16927.516078248787,34361.58552496728,1121.0100104816609,26319.809903880043,55119.08576512175
50_2_4_1,50,20260903,A4,0.8276544371317087,0.11761242015078072,0.07341666691464556,0.007989705599951236,1284,1284,264.4496500854953,19390.061020504778,35774.039426970965,500000,1.0,773.122230378,2775,250.34307455062475,16927.516078248787,34361.58552496728,1121.0100104816609,26319.809903880043,55119.08576512175
50_2_4_1,50,20260904,A2,0.9480209052720093,0.0643812451680249,0.05275929906136784,0.013756071692172734,455,455,286.86406645113624,17546.878689931236,35379.93048115101,500000,1.0,192.396922409,2775,250.34307455062475,16927.516078248787,34361.58552496728,1121.0100104816609,26319.809903880043,55119.08576512175
50_2_4_1,50,20260904,A4,0.8776459005235236,0.07806530660425338,0.06894709575110315,0.012622633237849044,919,919,258.5115443661914,18004.349051300553,35660.89247246403,500000,1.0,600.95484068,2775,250.34307455062475,16927.516078248787,34361.58552496728,1121.0100104816609,26319.809903880043,55119.08576512175
50_2_4_1,50,20260905,A2,0.8296510875286102,0.11152976319565881,0.10382617807182196,0.017201620031056696,516,516,267.8610035111117,17719.044885526993,37820.54289735262,500000,1.0,182.682170065,2775,250.34307455062475,16927.516078248787,34361.58552496728,1121.0100104816609,26319.809903880043,55119.08576512175
50_2_4_1,50,20260905,A4,0.7957238160571973,0.14469275922670705,0.1374109742086241,0.010868925790560952,1214,1214,274.3896970157689,18243.991256269408,34391.80049424407,500000,1.0,968.683458326,2775,250.34307455062475,16927.516078248787,34361.58552496728,1121.0100104816609,26319.809903880043,55119.08576512175
50_5_3_1,50,20260901,A2,0.5460764901973629,0.167928168585346,0.16117957854224113,0.026489125610046654,228,228,501.4863312734576,57311.41547920633,122701.63322884348,500000,1.0,189.667549435,857,489.70432100926314,55103.51899463368,115780.65901084637,779.3051324902897,65050.61757152296,169849.96781877652
50_5_3_1,50,20260901,A4,0.794325652601131,0.05148081858157447,0.02478269720781308,0.013472944122617556,526,526,493.5428802563594,56922.154423874905,118400.43945713244,500000,1.0,461.769966097,857,489.70432100926314,55103.51899463368,115780.65901084637,779.3051324902897,65050.61757152296,169849.96781877652
50_5_3_1,50,20260902,A2,0.6978641537316842,0.07804515251274723,0.060207770085221254,0.019255126219069885,300,300,499.65348236620423,57330.83796178512,121900.22196124251,500000,1.0,153.429498586,857,489.70432100926314,55103.51899463368,115780.65901084637,779.3051324902897,65050.61757152296,169849.96781877652
50_5_3_1,50,20260902,A4,0.7437322560772086,0.06357101781441185,0.056244598305075076,0.014857390476208257,412,412,495.3695006322885,56485.500711661974,115780.65901084637,500000,1.0,400.302343129,857,489.70432100926314,55103.51899463368,115780.65901084637,779.3051324902897,65050.61757152296,169849.96781877652
50_5_3_1,50,20260903,A2,0.773533303373157,0.06054647185186518,0.05363583128442804,0.02362799578271646,253,253,491.78873097208725,55103.51899463368,118157.07492846307,500000,1.0,168.393289925,857,489.70432100926314,55103.51899463368,115780.65901084637,779.3051324902897,65050.61757152296,169849.96781877652
50_5_3_1,50,20260903,A4,0.7147313626010646,0.08119874212366227,0.07870316450967685,0.013514823285023004,542,542,489.70432100926314,55382.046862410716,120781.40909393341,500000,1.0,448.457043372,857,489.70432100926314,55103.51899463368,115780.65901084637,779.3051324902897,65050.61757152296,169849.96781877652
50_5_3_1,50,20260904,A2,0.7445206970922389,0.07089068383580954,0.0545360950590879,0.015187521125546888,353,353,503.0605781418613,56522.24161511931,122762.90029142071,500000,1.0,162.044887507,857,489.70432100926314,55103.51899463368,115780.65901084637,779.3051324902897,65050.61757152296,169849.96781877652
50_5_3_1,50,20260904,A4,0.7640270231248276,0.05095682239985307,0.036381255431700885,0.01354318717428714,396,396,501.7336774644057,56014.14847369576,119090.29102637763,500000,1.0,471.691857853,857,489.70432100926314,55103.51899463368,115780.65901084637,779.3051324902897,65050.61757152296,169849.96781877652
50_5_3_1,50,20260905,A2,0.6322005063297607,0.11636478624859149,0.11036900307359877,0.017406404365626182,295,295,509.38609038266463,56705.27480665845,122985.60490247078,500000,1.0,190.269643552,857,489.70432100926314,55103.51899463368,115780.65901084637,779.3051324902897,65050.61757152296,169849.96781877652
50_5_3_1,50,20260905,A4,0.5903305639280678,0.14844892563871065,0.14635471005700104,0.015307332564466286,512,512,491.60398022990364,57662.92267053746,122405.09797638447,500000,1.0,501.401799305,857,489.70432100926314,55103.51899463368,115780.65901084637,779.3051324902897,65050.61757152296,169849.96781877652
