profile,archiveMode,teacherViewCapacity,activeArchiveCapacity,configurationSha256,state
ND0_FULL_ARCHIVE_CONTROL,UNBOUNDED_FULL,0,0,6b6d1362bc79079a342d8f98967d707452996a4bb9a75e78baed5566f06ca823,CONTROL_LOCAL_VALIDATED
ND1_TEACHER_VIEW_K50,BOUNDED_TEACHER_VIEW,50,0,bbba15f54c7256bb31bade7352b1bbd17bcd6f9c74bcd8d9521d7c988c1dd3ea,DORMANT_NOT_RUN
ND2_TEACHER_VIEW_K25,BOUNDED_TEACHER_VIEW,25,0,b60277e0955168a2340163f56c63760f4acbe0b6f4bdc938a49093f3363bc93b,DORMANT_NOT_RUN
ND3_ACTIVE_ARCHIVE_K200,BOUNDED_ACTIVE_ARCHIVE,0,200,e9395ffc0d5d7b024545892727dd9f0411188ee7d877bff98ee44b869e490f99,DORMANT_NOT_RUN
ND4_ACTIVE_ARCHIVE_K100,BOUNDED_ACTIVE_ARCHIVE,0,100,c131bb96a8f103514c3edd532ef74d676d249d286b4e2905e27856f9bdf9f6bc,DORMANT_NOT_RUN
