seed,algorithm,referenceScope,referenceSize,HV,IGD,IGDRatioBaseOverFull
20260808,ZHANGBO-FULL,all_2_algorithms_all_6_runs,1151,0.956587951844,0.0312098784213,4.84588093518
20260808,HMOPSO-QGS-F,all_2_algorithms_all_6_runs,1151,0.720456108682,0.151239554507,4.84588093518
20260809,ZHANGBO-FULL,all_2_algorithms_all_6_runs,1151,0.936224735392,0.0284352524596,6.47567010663
20260809,HMOPSO-QGS-F,all_2_algorithms_all_6_runs,1151,0.681283787391,0.184136315174,6.47567010663
20260810,ZHANGBO-FULL,all_2_algorithms_all_6_runs,1151,0.937124335598,0.0322338170275,4.24135274905
20260810,HMOPSO-QGS-F,all_2_algorithms_all_6_runs,1151,0.757305560420,0.136715110958,4.24135274905
20260811,ZHANGBO-FULL,all_2_algorithms_all_6_runs,1151,0.942087734339,0.0345323108183,4.38950661247
20260811,HMOPSO-QGS-F,all_2_algorithms_all_6_runs,1151,0.706396176484,0.151579600728,4.38950661247
20260812,ZHANGBO-FULL,all_2_algorithms_all_6_runs,1151,0.937680253845,0.0320256025323,4.39060606997
20260812,HMOPSO-QGS-F,all_2_algorithms_all_6_runs,1151,0.746394678836,0.140611367342,4.39060606997
20260813,ZHANGBO-FULL,all_2_algorithms_all_6_runs,1151,0.974671764101,0.0229279672819,7.17662695520
20260813,HMOPSO-QGS-F,all_2_algorithms_all_6_runs,1151,0.710222331443,0.164545601632,7.17662695520
