seed,algorithm,referenceScope,referenceSize,IGD
20260808,ZHANGBO-FULL,other_5_seeds_both_algorithms_fixed_global_bounds,1108,0.0363373132491
20260808,HMOPSO-QGS-F,other_5_seeds_both_algorithms_fixed_global_bounds,1108,0.148460659451
20260809,ZHANGBO-FULL,other_5_seeds_both_algorithms_fixed_global_bounds,951,0.0366198576036
20260809,HMOPSO-QGS-F,other_5_seeds_both_algorithms_fixed_global_bounds,951,0.176585217012
20260810,ZHANGBO-FULL,other_5_seeds_both_algorithms_fixed_global_bounds,1185,0.0353981564207
20260810,HMOPSO-QGS-F,other_5_seeds_both_algorithms_fixed_global_bounds,1185,0.135492343496
20260811,ZHANGBO-FULL,other_5_seeds_both_algorithms_fixed_global_bounds,1130,0.0356947571769
20260811,HMOPSO-QGS-F,other_5_seeds_both_algorithms_fixed_global_bounds,1130,0.151894428458
20260812,ZHANGBO-FULL,other_5_seeds_both_algorithms_fixed_global_bounds,1090,0.0384422299733
20260812,HMOPSO-QGS-F,other_5_seeds_both_algorithms_fixed_global_bounds,1090,0.142781819970
20260813,ZHANGBO-FULL,other_5_seeds_both_algorithms_fixed_global_bounds,1066,0.0293011647247
20260813,HMOPSO-QGS-F,other_5_seeds_both_algorithms_fixed_global_bounds,1066,0.163776030283
