"path","length","sha256"
"docs/evidence/P6.0/P6_0_REPORT.md","1736","F59B81B5187B29EF17280DBA219E5710CA41F682DC1E9D651AE12D167FC14B2A"
"docs/evidence/P6.0/SOURCE_MAPPING.md","875","0B6015720A42096A9B6D0F4AC17ECCA8305A75F6D22D0224898B0F49FDA0E11F"
"docs/evidence/P6.0/TEST_QG_INTEGRATION_200FE.log","22080","CA3448FADC2231F815BBC15B39A8C3C3914821F5DB451E06305935BD650E702E"
"docs/evidence/P6.1/P6_1_REPORT.md","2932","0F4613A7AFF3EEC44BE56B788DCA9DD98ADE4F32BC00324D826E2AFBE76B39A9"
"docs/evidence/P6.1/TEST_COMMANDS.md","1303","359F1F9B5D58E8368D88F182A80D4A8C0843DD9B98DCF1A05C925A272D8C71B4"
"docs/evidence/P6.1/SEMANTIC_AND_COMPATIBILITY.md","745","2418661872D7226B10829DD2AD5287689D2C59DE5E3B240DE58E3B0A9288D379"
"docs/evidence/P6.1/SOURCE_MAPPING.md","1005","9CA5888C7CE18F82C8AF0E0471C866884A30532B0D0D44BC2800A19F90467B55"
"docs/evidence/P6.1/CONFIG_CFVF.txt","243","CDB250360D0E5A41D61C6C494B6E995635C4C3640C8276001209B5E93FBF9F60"
"docs/evidence/P6.1/P6_SOURCE_SHA256.csv","3582","2773448C3DA1CD33A00C4072C9A702B051402575771961FA1685E2E67E48CA86"
"docs/evidence/P6.1/AUTHOR_SOURCE_INTEGRITY.csv","1075","0A4FC321448C9EA8E1DB3AD6BB7B0B9014DE40EB4351FC6933261B0CC1788AC2"
"docs/evidence/P6.1/JAVA8_BYTECODE.txt","168","AF558F79E17640A989AFB20D6F8C10DBA60162475B308FC68F6FB560EDD44138"
"docs/evidence/P6.1/FORBIDDEN_MECHANISM_SCAN.txt","152","954854D271B61A3D6BC32E07C82A70E56692DDDB1A6D6DC66D281F5604332EAB"
"docs/evidence/P6.1/FINAL_GATE_SUMMARY.txt","625","D94B38B46FE6973289366BBDD3DE6F05ED5067B8F34AD16469BE76F339477FB2"
"docs/evidence/P6.1/SUPERSEDED_RUNS.md","416","9BDA8FA97C5474AC5611862F3B40001F0A4044B4D0243E43BEF04C6FD7BDC074"
"docs/evidence/P6.1/TEST_P6_COMPONENTS.log","9608","26079E24AC31DB087D9A13D9022D7836A3E0C46B4C0DA37D0889E77ED4D7DC8F"
"docs/evidence/P6.1/TEST_P6_INTEGRATION_2000FE.log","129067","967075CFD49A3455E0E5F75BBFBA14CDB2F91C47014E595A7E22C4903C56F7DE"
"docs/evidence/P6.1/TEST_P2_THROUGH_P6_DIRECTED.log","132833","43583740EEB6AF1F5A34AF463F0B99E608706C3BEA8A9D2BDC90FF6DB3BBC47B"
"docs/evidence/P6.1/BUILD_PACKAGE_JAVA8.log","16889","F83840D3EC59C2F6DDBB1375687D43C884C299367584BA2564CFBFF38771AB48"
"docs/evidence/P6.1/TEST_FULL_REGRESSION_JDK17_COMPAT.log","27687","687104C8717E8A3527927482E1AE0E138F79628F2D8F0E747E674760173FDAAC"
"docs/evidence/P6.1/TEST_RUNNER_COMPATIBILITY_FINAL.log","126369","48665FD6AF34B5B50EA7A2E75A33873B10B7C1A092D7AA75D9B09726A3C74B13"
