factory,worker,fatigueAtCmax
1,1,0.062299795314966364
1,2,0.20619385989169428
1,3,0.13411225194079499
1,4,0.17989073464259084
2,1,0.1875644838074631
2,2,0
2,3,0
2,4,0.20589260979900983
