comparison,metric,positiveInstance,negativeInstance,scope,positiveMedian,negativeMedian,deltaNegMinusPos
A0_vs_A2,medianRoverflow,100_2_5_1,100_8_3_1,arm=A2_CFVF,0.375000,0.450000,0.075000
A0_vs_A2,maxRoverflow,100_2_5_1,100_8_3_1,arm=A2_CFVF,0.410000,0.510000,0.100000
A0_vs_A2,nndGt100Frac,100_2_5_1,100_8_3_1,arm=A2_CFVF,0.000000,0.000000,0.000000
A0_vs_A2,poolNextRate_E_C,100_2_5_1,100_8_3_1,arm=A2_CFVF,1.0000,1.0000,0.0000
A0_vs_A2,poolNextRate_E_E,100_2_5_1,100_8_3_1,arm=A2_CFVF,1.0000,1.0000,0.0000
A0_vs_A2,poolNextRate_E_W,100_2_5_1,100_8_3_1,arm=A2_CFVF,1.0000,1.0000,0.0000
A0_vs_A2,poolNextRate_E_B,100_2_5_1,100_8_3_1,arm=A2_CFVF,1.0000,1.0000,0.0000
A0_vs_A2,seed_detail_medianRoverflow,100_2_5_1,100_8_3_1,"seed=20260911,arm=A2_CFVF",0.505000,0.560000,0.055000
A0_vs_A2,seed_detail_maxNnd,100_2_5_1,100_8_3_1,"seed=20260911,arm=A2_CFVF",54.0,59.0,
A0_vs_A2,seed_detail_medianRoverflow,100_2_5_1,100_8_3_1,"seed=20260912,arm=A2_CFVF",0.375000,0.370000,-0.005000
A0_vs_A2,seed_detail_maxNnd,100_2_5_1,100_8_3_1,"seed=20260912,arm=A2_CFVF",41.0,38.0,
A0_vs_A2,seed_detail_medianRoverflow,100_2_5_1,100_8_3_1,"seed=20260913,arm=A2_CFVF",0.345000,0.450000,0.105000
A0_vs_A2,seed_detail_maxNnd,100_2_5_1,100_8_3_1,"seed=20260913,arm=A2_CFVF",35.0,51.0,
A2_vs_A4,medianRoverflow,100_2_4_1,100_5_3_1,arm=A4_BUDGET_AWARE_CATA,0.240000,0.495000,0.255000
A2_vs_A4,maxRoverflow,100_2_4_1,100_5_3_1,arm=A4_BUDGET_AWARE_CATA,0.560000,0.610000,0.050000
A2_vs_A4,nndGt100Frac,100_2_4_1,100_5_3_1,arm=A4_BUDGET_AWARE_CATA,0.000000,0.000000,0.000000
A2_vs_A4,poolNextRate_E_C,100_2_4_1,100_5_3_1,arm=A4_BUDGET_AWARE_CATA,1.0000,1.0000,0.0000
A2_vs_A4,poolNextRate_E_E,100_2_4_1,100_5_3_1,arm=A4_BUDGET_AWARE_CATA,1.0000,1.0000,0.0000
A2_vs_A4,poolNextRate_E_W,100_2_4_1,100_5_3_1,arm=A4_BUDGET_AWARE_CATA,1.0000,1.0000,0.0000
A2_vs_A4,poolNextRate_E_B,100_2_4_1,100_5_3_1,arm=A4_BUDGET_AWARE_CATA,1.0000,1.0000,0.0000
A2_vs_A4,seed_detail_medianRoverflow,100_2_4_1,100_5_3_1,"seed=20260901,arm=A4_BUDGET_AWARE_CATA",0.230000,0.495000,0.265000
A2_vs_A4,seed_detail_maxNnd,100_2_4_1,100_5_3_1,"seed=20260901,arm=A4_BUDGET_AWARE_CATA",31.0,77.0,
A2_vs_A4,seed_detail_medianRoverflow,100_2_4_1,100_5_3_1,"seed=20260902,arm=A4_BUDGET_AWARE_CATA",0.475000,0.385000,-0.090000
A2_vs_A4,seed_detail_maxNnd,100_2_4_1,100_5_3_1,"seed=20260902,arm=A4_BUDGET_AWARE_CATA",59.0,52.0,
A2_vs_A4,seed_detail_medianRoverflow,100_2_4_1,100_5_3_1,"seed=20260903,arm=A4_BUDGET_AWARE_CATA",0.240000,0.525000,0.285000
A2_vs_A4,seed_detail_maxNnd,100_2_4_1,100_5_3_1,"seed=20260903,arm=A4_BUDGET_AWARE_CATA",56.0,61.0,
