instance,seed,arm,cycle,fe,Nmerge,Nunique,Nnd,Roverflow
100_2_4_1,20260901,A2_CFVF,1,31503,300,248,32,0.32
100_2_4_1,20260901,A2_CFVF,2,50000,252,216,30,0.3
100_2_4_1,20260901,A4_BUDGET_AWARE_CATA,1,6803,255,203,8,0.08
100_2_4_1,20260901,A4_BUDGET_AWARE_CATA,2,13673,241,188,22,0.22
100_2_4_1,20260901,A4_BUDGET_AWARE_CATA,3,20875,245,210,28,0.28
100_2_4_1,20260901,A4_BUDGET_AWARE_CATA,4,28652,247,200,31,0.31
100_2_4_1,20260901,A4_BUDGET_AWARE_CATA,5,37442,252,215,16,0.16
100_2_4_1,20260901,A4_BUDGET_AWARE_CATA,6,48269,257,216,24,0.24
100_2_4_1,20260902,A2_CFVF,1,30774,300,245,34,0.34
100_2_4_1,20260902,A2_CFVF,2,50000,254,224,37,0.37
100_2_4_1,20260902,A4_BUDGET_AWARE_CATA,1,6803,268,213,12,0.12
100_2_4_1,20260902,A4_BUDGET_AWARE_CATA,2,13673,280,237,24,0.24
100_2_4_1,20260902,A4_BUDGET_AWARE_CATA,3,20875,275,230,41,0.41
100_2_4_1,20260902,A4_BUDGET_AWARE_CATA,4,28652,281,243,56,0.56
100_2_4_1,20260902,A4_BUDGET_AWARE_CATA,5,37442,289,255,54,0.54
100_2_4_1,20260902,A4_BUDGET_AWARE_CATA,6,48269,289,257,59,0.59
100_2_4_1,20260903,A2_CFVF,1,32056,300,245,54,0.54
100_2_4_1,20260903,A2_CFVF,2,50000,249,221,47,0.47
100_2_4_1,20260903,A4_BUDGET_AWARE_CATA,1,6803,271,216,13,0.13
100_2_4_1,20260903,A4_BUDGET_AWARE_CATA,2,13673,286,235,15,0.15
100_2_4_1,20260903,A4_BUDGET_AWARE_CATA,3,20875,275,223,33,0.33
100_2_4_1,20260903,A4_BUDGET_AWARE_CATA,4,28652,268,231,12,0.12
100_2_4_1,20260903,A4_BUDGET_AWARE_CATA,5,37442,260,214,35,0.35
100_2_4_1,20260903,A4_BUDGET_AWARE_CATA,6,48269,281,240,56,0.56
100_2_5_1,20260911,A0_BASELINE,1,18459,300,244,28,0.28
100_2_5_1,20260911,A0_BASELINE,2,36736,300,271,38,0.38
100_2_5_1,20260911,A0_BASELINE,3,50000,255,212,43,0.43
100_2_5_1,20260911,A2_CFVF,1,30487,300,244,47,0.47
100_2_5_1,20260911,A2_CFVF,2,50000,258,225,54,0.54
100_2_5_1,20260912,A0_BASELINE,1,18731,300,249,26,0.26
100_2_5_1,20260912,A0_BASELINE,2,38639,300,269,32,0.32
100_2_5_1,20260912,A0_BASELINE,3,50000,235,204,19,0.19
100_2_5_1,20260912,A2_CFVF,1,30499,300,249,34,0.34
100_2_5_1,20260912,A2_CFVF,2,50000,263,231,41,0.41
100_2_5_1,20260913,A0_BASELINE,1,23689,300,245,27,0.27
100_2_5_1,20260913,A0_BASELINE,2,50000,298,266,37,0.37
