comparison,instance,contrastRole,seed,armA,armB,finalBestCmaxA,finalBestCmaxB,relFinalBvsA,firstSeparationFE_2pct,firstSeparationRel
A0_vs_A2,100_2_5_1,POSITIVE,20260911,A0_BASELINE,A2_CFVF,610.5654,583.1957,-0.0448,1000,-0.0763
A0_vs_A2,100_2_5_1,POSITIVE,20260912,A0_BASELINE,A2_CFVF,577.9125,574.0988,-0.0066,1000,-0.1719
A0_vs_A2,100_2_5_1,POSITIVE,20260913,A0_BASELINE,A2_CFVF,640.7478,572.8028,-0.1060,1000,-0.1318
A0_vs_A2,100_8_3_1,NEGATIVE,20260911,A0_BASELINE,A2_CFVF,1414.9280,1412.0292,-0.0020,1000,-0.0935
A0_vs_A2,100_8_3_1,NEGATIVE,20260912,A0_BASELINE,A2_CFVF,1442.8810,1398.7733,-0.0306,1000,-0.0837
A0_vs_A2,100_8_3_1,NEGATIVE,20260913,A0_BASELINE,A2_CFVF,1427.1408,1400.5261,-0.0186,1000,-0.0359
A2_vs_A4,100_2_4_1,POSITIVE,20260901,A2_CFVF,A4_BUDGET_AWARE_CATA,620.1837,603.6306,-0.0267,9000,-0.0231
A2_vs_A4,100_2_4_1,POSITIVE,20260902,A2_CFVF,A4_BUDGET_AWARE_CATA,621.8800,597.0178,-0.0400,3000,-0.0227
A2_vs_A4,100_2_4_1,POSITIVE,20260903,A2_CFVF,A4_BUDGET_AWARE_CATA,600.5778,609.8588,0.0155,1000,0.0559
A2_vs_A4,100_5_3_1,NEGATIVE,20260901,A2_CFVF,A4_BUDGET_AWARE_CATA,802.7421,770.6187,-0.0400,7000,-0.0544
A2_vs_A4,100_5_3_1,NEGATIVE,20260902,A2_CFVF,A4_BUDGET_AWARE_CATA,785.6733,777.9559,-0.0098,14000,-0.0517
A2_vs_A4,100_5_3_1,NEGATIVE,20260903,A2_CFVF,A4_BUDGET_AWARE_CATA,791.8844,764.5310,-0.0345,17000,-0.0210
