instance,seed,arm,cycle,fe,cmaxGap,tecGap,twcGap,workingBestCmax,archiveBestCmax,workingSize,archiveSize
100_5_3_1,20260901,A4_BUDGET_AWARE_CATA,2,13673,0.0,690.7513887629757,851.385627370677,777.2192786258516,777.2192786258516,100,65
100_5_3_1,20260901,A4_BUDGET_AWARE_CATA,3,20875,0.0,991.0062130651495,2068.231544187758,771.5597901701803,771.5597901701803,100,148
100_5_3_1,20260901,A4_BUDGET_AWARE_CATA,4,28652,0.0,935.2876700025081,2765.234415985644,771.5597901701803,771.5597901701803,100,197
100_5_3_1,20260901,A4_BUDGET_AWARE_CATA,5,37442,0.0,0.0,1837.525451903639,771.5597901701803,771.5597901701803,100,201
100_5_3_1,20260901,A4_BUDGET_AWARE_CATA,6,48269,0.9410712591624133,816.6849949702446,2011.4484040274401,771.5597901701803,770.6187189110179,100,262
100_5_3_1,20260902,A2_CFVF,1,32276,0.0,0.0,0.0,785.6732528453233,785.6732528453233,100,88
100_5_3_1,20260902,A2_CFVF,2,50000,0.0,0.0,3162.3458613530383,785.6732528453233,785.6732528453233,100,136
100_5_3_1,20260902,A4_BUDGET_AWARE_CATA,1,6803,0.0,689.1670265421708,8355.886418616981,807.9564082002508,807.9564082002508,100,47
100_5_3_1,20260902,A4_BUDGET_AWARE_CATA,2,13673,0.0,874.3339519810979,7673.839594012592,777.9559315779057,777.9559315779057,100,78
100_5_3_1,20260902,A4_BUDGET_AWARE_CATA,3,20875,0.0,0.0,283.4252668315312,777.9559315779057,777.9559315779057,100,109
100_5_3_1,20260902,A4_BUDGET_AWARE_CATA,4,28652,0.0,181.3265022275009,396.94423550734064,777.9559315779057,777.9559315779057,100,104
100_5_3_1,20260902,A4_BUDGET_AWARE_CATA,5,37442,0.0,464.26040064431436,442.0405175151536,777.9559315779057,777.9559315779057,100,89
100_5_3_1,20260902,A4_BUDGET_AWARE_CATA,6,48269,0.0,0.0,1352.8969990405021,777.9559315779057,777.9559315779057,100,104
100_5_3_1,20260903,A2_CFVF,1,32295,0.0,0.0,0.0,791.8843638603888,791.8843638603888,100,69
100_5_3_1,20260903,A2_CFVF,2,50000,0.0,1826.761129918712,0.0,791.8843638603888,791.8843638603888,100,98
100_5_3_1,20260903,A4_BUDGET_AWARE_CATA,1,6803,0.0,1143.169263891381,0.0,817.6934530071842,817.6934530071842,100,34
100_5_3_1,20260903,A4_BUDGET_AWARE_CATA,2,13673,0.0,724.9682497043832,5364.371229360229,817.6934530071842,817.6934530071842,100,100
100_5_3_1,20260903,A4_BUDGET_AWARE_CATA,3,20875,0.0,0.0,3190.6096484574373,780.5319979439905,780.5319979439905,100,88
100_5_3_1,20260903,A4_BUDGET_AWARE_CATA,4,28652,0.0,184.6058925196994,4354.905795269937,780.5319979439905,780.5319979439905,100,157
100_5_3_1,20260903,A4_BUDGET_AWARE_CATA,5,37442,0.0,0.0,5748.936282234674,764.5310417008361,764.5310417008361,100,198
