instance,seed,arm,pddrRounds,medianNmerge,medianNunique,medianNnd,maxNnd,medianRoverflow,maxRoverflow,nndGt100Rounds,nndGt100Fraction
100_2_4_1,20260901,A2_CFVF,2,276.000000,232.000000,31.000000,32.000000,0.310000,0.320000,0,0.0000
100_2_4_1,20260901,A4_BUDGET_AWARE_CATA,6,249.500000,206.500000,23.000000,31.000000,0.230000,0.310000,0,0.0000
100_2_4_1,20260902,A2_CFVF,2,277.000000,234.500000,35.500000,37.000000,0.355000,0.370000,0,0.0000
100_2_4_1,20260902,A4_BUDGET_AWARE_CATA,6,280.500000,240.000000,47.500000,59.000000,0.475000,0.590000,0,0.0000
100_2_4_1,20260903,A2_CFVF,2,274.500000,233.000000,50.500000,54.000000,0.505000,0.540000,0,0.0000
100_2_4_1,20260903,A4_BUDGET_AWARE_CATA,6,273.000000,227.000000,24.000000,56.000000,0.240000,0.560000,0,0.0000
100_2_5_1,20260911,A0_BASELINE,3,300.000000,244.000000,38.000000,43.000000,0.380000,0.430000,0,0.0000
100_2_5_1,20260911,A2_CFVF,2,279.000000,234.500000,50.500000,54.000000,0.505000,0.540000,0,0.0000
100_2_5_1,20260912,A0_BASELINE,3,300.000000,249.000000,26.000000,32.000000,0.260000,0.320000,0,0.0000
100_2_5_1,20260912,A2_CFVF,2,281.500000,240.000000,37.500000,41.000000,0.375000,0.410000,0,0.0000
100_2_5_1,20260913,A0_BASELINE,2,299.000000,255.500000,32.000000,37.000000,0.320000,0.370000,0,0.0000
100_2_5_1,20260913,A2_CFVF,2,278.500000,237.500000,34.500000,35.000000,0.345000,0.350000,0,0.0000
100_5_3_1,20260901,A2_CFVF,2,273.500000,228.500000,40.500000,41.000000,0.405000,0.410000,0,0.0000
100_5_3_1,20260901,A4_BUDGET_AWARE_CATA,6,258.500000,210.500000,49.500000,77.000000,0.495000,0.770000,0,0.0000
100_5_3_1,20260902,A2_CFVF,2,273.500000,230.500000,58.500000,59.000000,0.585000,0.590000,0,0.0000
100_5_3_1,20260902,A4_BUDGET_AWARE_CATA,6,269.000000,218.500000,38.500000,52.000000,0.385000,0.520000,0,0.0000
100_5_3_1,20260903,A2_CFVF,2,273.500000,230.500000,49.500000,50.000000,0.495000,0.500000,0,0.0000
100_5_3_1,20260903,A4_BUDGET_AWARE_CATA,6,272.500000,228.000000,52.500000,61.000000,0.525000,0.610000,0,0.0000
100_8_3_1,20260911,A0_BASELINE,2,276.500000,236.000000,38.500000,42.000000,0.385000,0.420000,0,0.0000
100_8_3_1,20260911,A2_CFVF,2,274.500000,236.000000,56.000000,59.000000,0.560000,0.590000,0,0.0000
100_8_3_1,20260912,A0_BASELINE,2,278.000000,241.500000,31.000000,35.000000,0.310000,0.350000,0,0.0000
100_8_3_1,20260912,A2_CFVF,2,275.000000,232.000000,37.000000,38.000000,0.370000,0.380000,0,0.0000
100_8_3_1,20260913,A0_BASELINE,2,277.000000,236.000000,47.000000,53.000000,0.470000,0.530000,0,0.0000
100_8_3_1,20260913,A2_CFVF,2,276.000000,233.500000,45.000000,51.000000,0.450000,0.510000,0,0.0000
