instance,exactFrontSize,enumeratedDecodes,arm,status,FE,armFrontSize,igd,cForwardOverExact,cExactOverArm,minCmax,minTEC,minTWC,armSolutionsDominatingExact,algorithmRunSeconds
3_2_2_1,21,3072,baseline,COMPLETED,500000,21,0.000000,1.000000,1.000000,34.918803,716.076800,850.233935,0,47.398
3_2_2_1,21,3072,full,COMPLETED,500000,21,0.000000,1.000000,1.000000,34.918803,716.076800,850.233935,0,198.317
5_2_2_1,51,3932160,baseline,COMPLETED,500000,52,0.000483,0.960784,1.000000,43.500000,1524.896825,1588.701162,0,10.227
5_2_2_1,51,3932160,full,COMPLETED,500000,49,0.003484,0.941176,1.000000,43.500000,1524.896825,1588.701162,0,26.112
