instance,label,runs,meanFE,meanWallMs,meanFrontSize,meanMinCmax,meanMinTEC,meanMinTWC,meanFmax,meanFatigueExcess,meanNaturalRecovery
chapter4-golden-author-bridge,B0,3,20000.0000000,968.666666667,104.666666667,44.8408011741,1797.23548617,2459.08411033,0.00000000000,0.00000000000,0.00000000000
chapter4-golden-author-bridge,B1,3,19980.3333333,1087.00000000,89.6666666667,47.2272811046,1949.55096160,2654.71325398,0.827288770838,0.00183610404675,16.4726670171
chapter4-golden-author-bridge,B5,3,20000.0000000,1500.00000000,123.000000000,46.7623154252,1934.55490052,2655.55083915,0.841728995483,0.00951060602540,11.9767380786
chapter4-golden-author-bridge,FULL,3,20000.0000000,3293.66666667,131.666666667,45.7189107368,1922.50392552,2647.18468553,0.839564061019,0.0189762247198,11.7493746623
20_2_3_1,B0,3,20000.0000000,823.333333333,66.0000000000,183.129136376,8363.07762304,11761.3136863,0.00000000000,0.00000000000,0.00000000000
20_2_3_1,B1,3,20000.0000000,1123.33333333,78.0000000000,214.968425165,9614.73228502,13183.6737848,0.999822339750,39.4845331551,378.055800874
20_2_3_1,B5,3,19981.6666667,1684.00000000,135.666666667,199.626724725,8793.00211897,13053.2367299,0.999956453571,44.8896277977,392.009993330
20_2_3_1,FULL,3,20000.0000000,4115.00000000,124.000000000,206.543424219,8671.65311542,12913.2032132,0.999916275275,35.9826673239,473.965631695
