sequence,job,stage,factory,machine,worker,predecessorCompletion,machineAvailableBefore,workerAvailableBefore,start,recoveryDuration,fatigueBeforeRecovery,fatigueAtStart,ST,SUT,machineSpeed,machinePower,workerEfficiency,workerCost,lambda,muCurrentStage,recoveryMu,r,delta,baseProcessing,baseSetup,baseAT,fatigueMultiplier,actualProcessing,actualSetup,actualAT,end,fatigueAfter,energy,cost,safeThresholdExceeded
0,5,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.2,10.0,1.2,12.0,0.026910216099651475,0.03457450986628025,0.03457450986628025,0.3,16.083427597309207,5.555555555555555,1.6666666666666667,7.222222222222222,1.0,5.555555555555555,1.6666666666666667,7.222222222222222,7.222222222222222,0.17663161060302845,72.22222222222223,86.66666666666667,false
1,4,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,1.0,7.0,1.0,10.0,0.01903105251791181,0.042003943265363816,0.042003943265363816,0.3,22.742226782219984,10.0,2.0,12.0,1.0,10.0,2.0,12.0,12.0,0.2041723448532426,84.0,120.0,false
2,8,0,0,0,0,0.0,12.0,7.222222222222222,12.0,4.777777777777778,0.17663161060302845,0.1497364790430577,16.0,3.0,1.0,7.0,1.2,12.0,0.026910216099651475,0.03457450986628025,0.03457450986628025,0.3,16.083427597309207,13.333333333333334,2.5,15.833333333333334,1.0603909694961164,14.13854625994822,2.650977423740291,16.78952368368851,28.78952368368851,0.45882829359851723,117.52666578581957,201.47428420426212,false
3,5,1,0,0,3,7.222222222222222,0.0,0.0,7.222222222222222,0.0,0.0,0.0,15.0,2.0,1.2,9.0,1.1,11.0,0.024516346668978548,0.04339585229398448,0.04339585229398448,0.3,17.653874702887027,11.363636363636363,1.8181818181818181,13.181818181818182,1.0,11.363636363636363,1.8181818181818181,13.181818181818182,20.404040404040405,0.2761492282964548,118.63636363636364,145.0,false
4,4,1,0,1,2,12.0,0.0,0.0,12.0,0.0,0.0,0.0,16.0,3.0,1.1,8.0,0.9,9.0,0.012729338129720998,0.06534298538013117,0.06534298538013117,0.3,34.00086539111954,16.16161616161616,3.333333333333333,19.49494949494949,1.0,16.16161616161616,3.333333333333333,19.49494949494949,31.49494949494949,0.21976319088222637,155.95959595959593,175.4545454545454,false
5,8,1,0,0,3,28.78952368368851,20.404040404040405,20.404040404040405,28.78952368368851,8.385483279648106,0.2761492282964548,0.19191377987494931,10.0,1.0,1.2,9.0,1.1,11.0,0.024516346668978548,0.04339585229398448,0.04339585229398448,0.3,17.653874702887027,7.575757575757575,0.9090909090909091,8.484848484848484,1.0759839635640818,8.151393663364255,0.9781672396037107,9.129560902967965,37.919084586656474,0.3539704273240012,90.5515314063598,192.6654860087768,false
6,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.1,8.0,1.2,12.0,0.014007937494133423,0.06730452786001137,0.06730452786001137,0.3,30.897376037546632,7.575757575757575,0.8333333333333334,8.409090909090908,1.0,7.575757575757575,0.8333333333333334,8.409090909090908,8.409090909090908,0.11112087477361929,67.27272727272727,100.9090909090909,false
7,2,0,1,0,1,0.0,0.0,8.409090909090908,8.409090909090908,0.0,0.11112087477361929,0.11112087477361929,12.0,2.0,1.0,7.0,1.2,12.0,0.014007937494133423,0.06730452786001137,0.06730452786001137,0.3,30.897376037546632,10.0,1.6666666666666667,11.666666666666666,1.0456047312334251,10.45604731233425,1.7426745520557085,12.19872186438996,20.607812773480866,0.2507427925072762,85.39105305072971,146.38466237267951,false
8,1,0,1,0,1,0.0,20.607812773480866,20.607812773480866,20.607812773480866,0.0,0.2507427925072762,0.2507427925072762,16.0,3.0,1.0,7.0,1.2,12.0,0.014007937494133423,0.06730452786001137,0.06730452786001137,0.3,30.897376037546632,13.333333333333334,2.5,15.833333333333334,1.0968355416170812,14.62447388822775,2.742088854042703,17.366562742270453,37.97437551575132,0.4125373906233609,121.56593919589318,208.39875290724544,false
9,7,0,1,1,0,0.0,8.409090909090908,0.0,8.409090909090908,0.0,0.0,0.0,14.0,2.0,1.1,8.0,1.1,11.0,0.01293570112951506,0.06350772240419988,0.06350772240419988,0.3,33.4584502172179,11.570247933884296,1.8181818181818181,13.388429752066115,1.0,11.570247933884296,1.8181818181818181,13.388429752066115,21.797520661157023,0.15902111460171364,107.10743801652892,147.27272727272725,false
10,6,0,1,0,1,0.0,37.97437551575132,37.97437551575132,37.97437551575132,0.0,0.4125373906233609,0.4125373906233609,13.0,2.0,1.0,7.0,1.2,12.0,0.014007937494133423,0.06730452786001137,0.06730452786001137,0.3,30.897376037546632,10.833333333333334,1.6666666666666667,12.5,1.1494867170837506,12.452772768407298,1.9158111951395844,14.368583963546882,52.3429594792982,0.5196387743379502,100.58008774482818,172.4230075625626,false
11,9,0,1,0,1,0.0,52.3429594792982,52.3429594792982,52.3429594792982,0.0,0.5196387743379502,0.5196387743379502,9.0,2.0,1.0,7.0,1.2,12.0,0.014007937494133423,0.06730452786001137,0.06730452786001137,0.3,30.897376037546632,7.5,1.6666666666666667,9.166666666666666,1.181118528599677,8.858388964497578,1.9685308809994617,10.82691984549704,63.16987932479524,0.5872361829260759,75.78843891847927,129.92303814596448,false
12,3,0,1,1,0,0.0,21.797520661157023,21.797520661157023,21.797520661157023,0.0,0.15902111460171364,0.15902111460171364,9.0,1.0,1.1,8.0,1.1,11.0,0.01293570112951506,0.06350772240419988,0.06350772240419988,0.3,33.4584502172179,7.438016528925619,0.9090909090909091,8.347107438016527,1.0638720547144567,7.913097927628189,0.9671564133767787,8.880254341004967,30.67777500216199,0.25028417329291974,71.04203472803974,97.68279775105464,false
13,0,1,1,0,2,8.409090909090908,0.0,0.0,8.409090909090908,0.0,0.0,0.0,8.0,1.0,1.0,7.0,1.2,12.0,0.027304451263626864,0.0682845009168481,0.0682845009168481,0.3,15.85120711959691,6.666666666666667,0.8333333333333334,7.5,1.0,6.666666666666667,0.8333333333333334,7.5,15.909090909090908,0.18517619922030784,52.5,90.0,false
14,2,1,1,1,2,20.607812773480866,0.0,15.909090909090908,20.607812773480866,4.698721864389958,0.18517619922030784,0.13435128808757665,12.0,3.0,1.2,8.0,1.2,12.0,0.027304451263626864,0.0682845009168481,0.0682845009168481,0.3,15.85120711959691,8.333333333333334,2.5,10.833333333333334,1.0545602458142342,8.788002048451952,2.6364006145355856,11.424402662987537,32.032215436468405,0.36632124141597133,91.3952213039003,137.09283195585044,false
15,7,1,1,2,3,21.797520661157023,0.0,0.0,21.797520661157023,0.0,0.0,0.0,12.0,2.0,0.9,6.0,0.9,9.0,0.013579305034188385,0.06613864891662347,0.06613864891662347,0.3,31.872655572359147,14.814814814814813,2.2222222222222223,17.037037037037035,1.0,14.814814814814813,2.2222222222222223,17.037037037037035,38.83455769819406,0.20653918506902402,102.2222222222222,153.33333333333331,false
16,3,1,1,0,2,30.67777500216199,15.909090909090908,32.032215436468405,32.032215436468405,0.0,0.36632124141597133,0.36632124141597133,14.0,3.0,1.0,7.0,1.2,12.0,0.027304451263626864,0.0682845009168481,0.0682845009168481,0.3,15.85120711959691,11.666666666666668,2.5,14.166666666666668,1.1350890164451932,13.242705191860589,2.837722541112983,16.080427732973572,48.11264316944198,0.5915069581407495,128.6861186581925,386.4426271242129,false
17,1,1,1,1,3,37.97437551575132,32.032215436468405,38.83455769819406,38.83455769819406,0.0,0.20653918506902402,0.20653918506902402,11.0,2.0,1.2,8.0,0.9,9.0,0.013579305034188385,0.06613864891662347,0.06613864891662347,0.3,31.872655572359147,10.185185185185185,2.2222222222222223,12.407407407407408,1.081262431322563,11.012858096803882,2.4028054029390287,13.41566349974291,52.25022119793697,0.33868599709022695,114.12765025966894,181.9620518532171,false
