arm,runs,generatedBetterThanGlobalRuns,medianGeneratedToGlobalGap,medianRecordRetentionRate,medianRecordCount
A0,12,1,0.0,0.11623422159887797,89.0
A1,12,4,0.0,0.09902000816659862,89.5
A2,12,4,0.0,0.07194616977225674,64.0
A3,12,5,0.0,0.09584178498985801,75.5
A4,12,6,0.000848716070609323,0.13030560271646857,88.0
