seed,fromArm,toArm,deltaHV,deltaIGD,deltaCmax,deltaTEC,deltaTWC
20260808,A0,A1,-0.13845490878055303,-0.35396238089648296,-0.0007624393623463823,-0.01924367008263534,-0.050066091836694485
20260809,A0,A1,0.4701129289941271,0.49542585900342584,-0.14355173437721258,-0.04204039419950904,0.04870291954906781
20260810,A0,A1,0.10721353711554632,0.057609678022453516,0.023492594521716533,0.020348361150886514,-0.008086056385184125
20260811,A0,A1,-0.28710468435117287,-0.21539381787627848,0.09441219344959306,-0.07956251493231967,0.04792540837550917
20260812,A0,A1,0.4373363769736225,0.342369382351913,0.03310784882772987,0.039611354652732814,0.02093061973672044
20260813,A0,A1,0.11876326489791227,0.186622488055687,0.11479385908869114,-0.012156237145616684,0.03457948950645683
20260814,A0,A1,-0.1530369541127824,0.12635205633576824,0.006584024023860194,-0.03708223299394547,-0.012287131936699357
20260815,A0,A1,-0.29294972637095423,-0.6684863323137715,0.037291408234207374,0.07199491914725234,2.9635162921678573e-05
20260816,A0,A1,0.440530537039714,0.24814936131621848,-0.04681452329497116,0.0237160864339418,0.03791669560304749
20260817,A0,A1,-0.2388841034033293,-0.43135335724991625,0.017307854194830156,-0.03168935064753387,-0.014641493274512965
20260818,A0,A1,-0.14852910463054064,-0.1907043081150962,0.008486121092596962,-0.031406305277854374,0.016666373786960613
20260819,A0,A1,0.16041544953073572,0.09394157548151047,0.0691013777911263,0.03014014564068767,-0.012517812263547413
20260808,A1,A2,0.5324283234503867,0.572120610988854,-0.0425893329501449,0.06613484930489406,0.016930283255548077
20260809,A1,A2,-0.201454971372716,-0.683382043609238,0.04444682780415395,0.030901156110572862,-0.07347937070328157
20260810,A1,A2,0.9655623466020107,0.5620945626305547,-0.010977762040498572,0.07847719063711757,0.13049137281556256
20260811,A1,A2,-0.0628784863407801,-0.2613215178211274,-0.0543092383353571,0.11459580919112113,-0.08321942705076665
20260812,A1,A2,0.27748528563826014,0.0335903460997443,-0.012520330339399416,0.0850341950762978,-0.015401892254630636
20260813,A1,A2,0.155652791676843,0.10398883837523037,-0.0373988301450928,0.03597795668275564,-0.06302438811014248
20260814,A1,A2,0.47272753085594543,0.35672115964028794,0.05618137971243318,0.0780637301782828,-0.008050062944402477
20260815,A1,A2,0.3205995675453153,-0.20709820262952666,-0.1472220873743306,0.012985690751540746,-0.09911518662157803
20260816,A1,A2,-0.12690468268342475,-0.3704402368365804,0.06483550319061947,0.06947007768360987,-0.06265695965842187
20260817,A1,A2,0.4659791410480828,0.332074406640373,-0.010374751566811308,0.11770057939935925,-0.005827104754281716
20260818,A1,A2,-0.0014816645969933863,-0.07706182111892157,-0.013964966371709287,0.0498094434639619,-0.054268768512565055
20260819,A1,A2,0.46789774484691726,0.194599121647958,-0.09714926929118353,0.07759703088483269,-0.024221480128120088
20260808,A2,A3,-0.22493780757454207,-1.640145546266303,-0.015399336584733922,0.03670142140787013,-0.07322005966071944
20260809,A2,A3,0.0984081034838289,0.16131761594967425,0.03376251840970034,0.05726058820004455,0.02044519451448313
20260810,A2,A3,-0.2700336295862881,-0.6104150552942368,0.045762108544689935,0.018419614485100717,-0.09895169053614593
20260811,A2,A3,0.3391071154750361,0.2595236122182965,0.07087945890926096,-0.003157834535533363,0.01987660151017327
20260812,A2,A3,-0.28291867642081353,-0.4284680196569034,-0.02257475675960288,-0.00844911106941035,-0.026287471129200702
20260813,A2,A3,-0.4477898298517572,-1.2400515888003794,0.01185247797540325,0.03561310473244492,-0.0960493392402339
20260814,A2,A3,-0.476970155151502,-1.2226757715304672,0.03581402112190404,-0.02511109303070319,-0.058849580367934536
20260815,A2,A3,0.03622487773640193,0.18053724616479455,0.07254248020523484,-0.001922306610683898,0.06293666216201202
20260816,A2,A3,-0.09982814750223973,-0.07022901955854105,0.01319532839786243,-0.004921367174162041,0.016728617011349575
20260817,A2,A3,0.01825593172293403,-0.000276000141077818,-0.00917604028816851,-0.0050976981628824795,0.013977170009502124
20260818,A2,A3,0.29356541734616604,0.27955852426502253,-0.055381823406966686,-0.008804167945542058,0.028289908677264754
20260819,A2,A3,-0.36270463135459385,-0.6832041897508113,-0.04374829752206442,-0.048441300797968365,-0.06230100942671548
20260808,A3,A4,0.1287476982912295,0.41943861067343446,-0.00025016438574133057,-0.07282328844219739,0.07151339129678261
20260809,A3,A4,-0.003832876073663607,-0.051449814121919325,0.005088404542018542,-0.026665625790974517,-0.021764309407499946
20260810,A3,A4,0.3991180169392201,0.4561584840798582,0.030144398185718204,-0.033456416802587305,0.10166360156234971
20260811,A3,A4,0.393078057112226,0.4003432467718046,-0.017355846674132824,-0.009451480919249779,0.04581048591968865
20260812,A3,A4,0.6077790675097728,0.42940098174962377,0.01820705079029017,-0.02915509751942653,0.03961651969964757
20260813,A3,A4,0.7628602538796769,0.5362508863688537,-0.05286042909854756,-0.045946807681310854,0.11510721677834373
20260814,A3,A4,0.5270374321737349,0.3066416005845957,0.00540523234416435,0.03196978118818782,0.04034030950654838
20260815,A3,A4,0.07737995216404987,0.3566370796472304,0.06016382859492397,-0.027834677335543467,0.0028701548502695017
20260816,A3,A4,0.1941418469226765,0.211379330686602,0.007974210566656072,0.013255701873659532,-0.048674251177322575
20260817,A3,A4,0.26225618577748566,0.41044618262986315,0.02812570147731264,0.013572821969605485,-0.0027070120922592636
20260818,A3,A4,0.06102089656126209,0.06650792161672356,0.05553506562870986,0.037137930906441095,-0.0019279404286839728
20260819,A3,A4,0.03980301265161562,0.25241581882111785,0.11065973148714273,0.021308673242759434,0.0743963900680893
20260808,A0,A4,0.15502560751675615,0.1120183656135889,-0.05971670633445905,0.01632574760907303,-0.0286446664375932
20260809,A0,A4,0.2845352907483531,0.2509794217820298,-0.05045885966197351,0.022597794082702686,-0.022090460451607355
20260810,A0,A4,1.222672174998786,0.6385723824562695,0.0863478505047737,0.08421021225114832,0.1346553735819723
20260811,A0,A4,0.24627085390473408,0.3192984005693428,0.09750765856136873,0.032069692786533946,0.035498711231549615
20260812,A0,A4,1.1169427104468752,0.4819820291816388,0.01712845194724616,0.08801709586576711,0.020137482302405724
20260813,A0,A4,0.2586003766577184,0.24291142301506735,0.04460544616760077,0.015772672390327102,0.004639258961584221
20260814,A0,A4,-0.003762187505240815,0.133896842844184,0.10086135715671327,0.05120160153284031,-0.03690110955427007
20260815,A0,A4,0.04242387589564257,-0.06181902530377725,0.03730541264342278,0.05674065915650307,-0.026954021740354415
20260816,A0,A4,0.3519650812189641,0.1303659167361405,0.04167700475754853,0.0991692916193503,-0.0541921388218572
20260817,A0,A4,0.43411190139736494,0.43620885497944684,0.026183792783239446,0.09751862164639512,-0.009013497698876096
20260818,A0,A4,0.1669122137733442,0.13751033326574502,-0.0021141536041392687,0.04805591805292745,-0.00931199039039462
20260819,A0,A4,0.12875877440326824,0.08174096885607672,0.051948689160139776,0.08204892397739086,-0.019692407599611907
