seed,arm,finalFrontMinCmax,auditBestGlobalCmax,auditBestGeneratedCmax,generatedBetterThanGlobal,generatedToGlobalGap,recordCount,pddrRetained,recordRetentionRate,globalArchive,personalArchive
20260808,A0,697.1710801310456,697.171080131046,694.347507515482,True,0.004050042659591169,109,11,0.10091743119266056,49,0
20260808,A1,697.7026308048271,697.702630804827,697.702630804827,False,0.0,101,16,0.15841584158415842,57,0
20260808,A2,727.4173204483659,727.417320448366,723.887736319388,True,0.004852213481530095,92,7,0.07608695652173914,43,0
20260808,A3,738.6190646035155,738.619064603516,738.619064603516,False,0.0,66,4,0.06060606060606061,28,4
20260808,A4,738.8038407881089,738.803840788109,720.291371669153,True,0.025057353653180903,72,6,0.08333333333333333,31,6
20260809,A0,677.5547092179258,677.554709217926,677.554709217926,False,0.0,129,19,0.14728682170542637,58,0
20260809,A1,774.818862861607,774.818862861607,747.022030942183,True,0.035875264854501716,86,4,0.046511627906976744,33,0
20260809,A2,740.3806222845868,740.380622284587,736.959996627226,True,0.004620090740362747,73,4,0.0547945205479452,34,0
20260809,A3,715.3835078945181,715.383507894518,709.95077925655,True,0.007594148562296664,77,13,0.16883116883116883,33,14
20260809,A4,711.7433472036624,711.743347203662,710.53521116982,True,0.001697432141218646,74,6,0.08108108108108109,46,7
20260810,A0,751.0578156911621,751.057815691162,751.057815691162,False,0.0,65,11,0.16923076923076924,29,0
20260810,A1,733.4135189647635,733.413518964764,733.413518964764,False,0.0,90,12,0.13333333333333333,42,0
20260810,A2,741.4647580532434,741.464758053243,724.201465079376,True,0.0232826884708489,63,3,0.047619047619047616,25,0
20260810,A3,707.5337673131486,707.533767313149,707.533767313149,False,0.0,74,11,0.14864864864864866,32,11
20260810,A4,686.2055877014197,686.20558770142,686.20558770142,False,0.0,62,8,0.12903225806451613,34,8
20260811,A0,795.8125996185531,795.812599618553,795.812599618553,False,0.0,76,6,0.07894736842105263,38,0
20260811,A1,720.6781865137427,720.678186513743,709.777532010698,True,0.015125550775688827,122,8,0.06557377049180328,47,0
20260811,A2,759.8176699082105,759.817669908211,759.817669908211,False,0.0,42,3,0.07142857142857142,27,0
20260811,A3,705.9622045954211,705.962204595421,705.962204595421,False,0.0,100,18,0.18,43,19
20260811,A4,718.214776376112,718.214776376112,713.60470897786,True,0.0064187866218973705,93,14,0.15053763440860216,41,15
20260812,A0,734.693632116714,734.693632116714,734.693632116714,False,0.0,87,13,0.14942528735632185,28,0
20260812,A1,710.369506409898,710.369506409898,708.901045117392,True,0.0020671795160907658,100,14,0.14,36,0
20260812,A2,719.263567293186,719.263567293186,719.263567293186,False,0.0,59,5,0.0847457627118644,24,0
20260812,A3,735.500767370874,735.500767370874,735.500767370874,False,0.0,58,6,0.10344827586206896,20,6
20260812,A4,722.1094675430551,722.109467543055,722.109467543055,False,0.0,95,13,0.1368421052631579,28,13
20260813,A0,773.2181274387916,773.218127438792,773.218127438792,False,0.0,55,2,0.03636363636363636,19,0
20260813,A1,684.4574346727613,684.457434672761,684.457434672761,False,0.0,129,15,0.11627906976744186,43,0
20260813,A2,710.0553420136339,710.055342013634,710.055342013634,False,0.0,65,6,0.09230769230769231,31,0
20260813,A3,701.6394267110999,701.6394267111,701.6394267111,False,0.0,79,6,0.0759493670886076,37,7
20260813,A4,738.7283878795075,738.728387879508,730.135952402894,True,0.011631386606487774,78,11,0.14102564102564102,23,12
20260814,A0,779.6502756558244,779.650275655824,779.650275655824,False,0.0,47,2,0.0425531914893617,25,0
20260814,A1,774.5170395106973,774.517039510697,772.38355039399,True,0.0027546057838247428,67,4,0.05970149253731343,30,0
20260814,A2,731.0036036201972,731.003603620197,731.003603620197,False,0.0,99,9,0.09090909090909091,25,0
20260814,A3,704.8234251199555,704.823425119956,703.738387225664,True,0.0015394464139827932,103,13,0.1262135922330097,30,13
20260814,A4,701.0136907455724,701.013690745572,701.013690745572,False,0.0,83,8,0.0963855421686747,35,8
20260815,A0,723.9660172482957,723.966017248296,723.966017248296,False,0.0,106,9,0.08490566037735849,46,0
20260815,A1,696.9683049513962,696.968304951396,696.968304951396,False,0.0,93,9,0.0967741935483871,35,0
20260815,A2,799.5774336400898,799.57743364009,799.57743364009,False,0.0,52,2,0.038461538461538464,24,0
20260815,A3,741.5741034877011,741.574103487701,741.574103487701,False,0.0,66,9,0.13636363636363635,26,9
20260815,A4,696.9581662350326,696.958166235033,696.958166235033,False,0.0,99,15,0.15151515151515152,52,15
20260816,A0,747.288244420083,747.288244420083,747.288244420083,False,0.0,124,14,0.11290322580645161,46,0
20260816,A1,782.272187346545,782.272187346545,782.272187346545,False,0.0,70,5,0.07142857142857142,21,0
20260816,A2,731.5531764479052,731.553176447905,731.553176447905,False,0.0,69,5,0.07246376811594203,32,0
20260816,A3,721.9000920441757,721.900092044176,721.900092044176,False,0.0,83,7,0.08433734939759036,20,8
20260816,A4,716.1435087021271,716.143508702127,712.914613075882,True,0.004508727073567545,105,12,0.11428571428571428,39,13
20260817,A0,729.2782577637814,729.278257763781,729.278257763781,False,0.0,92,11,0.11956521739130435,30,0
20260817,A1,716.6560160109461,716.656016010946,716.656016010946,False,0.0,79,8,0.10126582278481013,34,0
20260817,A2,724.0911441359204,724.09114413592,724.09114413592,False,0.0,63,5,0.07936507936507936,25,0
20260817,A3,730.7354336468177,730.735433646818,712.226118504173,True,0.025329707976896938,102,7,0.06862745098039216,22,7
20260817,A4,710.1829869811727,710.182986981173,708.299053977456,True,0.0026527430792523394,122,10,0.08196721311475409,37,10
20260818,A0,716.2711546011435,716.271154601144,716.271154601144,False,0.0,91,12,0.13186813186813187,48,0
20260818,A1,710.192790848064,710.192790848064,710.192790848064,False,0.0,58,7,0.1206896551724138,34,0
20260818,A2,720.1106092896875,720.110609289688,720.110609289688,False,0.0,76,5,0.06578947368421052,29,0
20260818,A3,759.9916478868522,759.991647886852,753.682144477568,True,0.008302069406719712,68,6,0.08823529411764706,20,6
20260818,A4,717.7854618441845,717.785461844185,717.785461844185,False,0.0,72,13,0.18055555555555555,31,13
20260819,A0,756.0513037458139,756.051303745814,756.051303745814,False,0.0,54,7,0.12962962962962962,20,0
20260819,A1,703.8071169762009,703.807116976201,703.807116976201,False,0.0,89,8,0.0898876404494382,50,0
20260819,A2,772.1814641123733,772.181464112373,771.149229126211,True,0.0013367777318359989,54,2,0.037037037037037035,13,0
20260819,A3,805.9630885453847,805.963088545385,784.528083263011,True,0.026595517322089993,69,6,0.08695652173913043,13,6
20260819,A4,716.7754295784042,716.775429578404,716.775429578404,False,0.0,114,15,0.13157894736842105,39,15
