instance,seed,arm,checkpointTargetFE,observedOnlyNdCount,observedOnlyRatio,potentialHvRecovery,gapIsMaterial
50_2_3_1,20260916,C0,50000,24,0.096,0.00033057165992356197,False
50_2_3_1,20260916,C0,100000,87,0.24369747899159663,0.0011363123841623413,True
50_2_3_1,20260916,C0,150000,99,0.2391304347826087,0.0016251525066598438,True
50_2_3_1,20260916,C0,200000,114,0.2651162790697674,0.001574260766778579,True
50_2_3_1,20260916,C0,250000,107,0.2437357630979499,0.0021234326197527853,True
50_2_3_1,20260916,C2,50000,54,0.2727272727272727,0.0017314289583149067,True
50_2_3_1,20260916,C2,100000,78,0.2765957446808511,0.0017281267812242485,True
50_2_3_1,20260916,C2,150000,58,0.20938628158844766,0.0009491140900041994,True
50_2_3_1,20260916,C2,200000,58,0.1864951768488746,0.0009922979507006602,True
50_2_3_1,20260916,C2,250000,85,0.23097826086956522,0.001200104888244069,True
50_2_3_1,20260916,C3,50000,59,0.2260536398467433,0.0010831726778232076,True
50_2_3_1,20260916,C3,100000,51,0.14325842696629212,0.0005241026552954553,True
50_2_3_1,20260916,C3,150000,81,0.19331742243436753,0.0016851665553735407,True
50_2_3_1,20260916,C3,200000,35,0.09915014164305949,0.0003071933527072357,False
50_2_3_1,20260916,C3,250000,72,0.15286624203821655,0.0004974223608400496,True
50_2_3_1,20260917,C0,50000,30,0.09933774834437085,0.0013331323831673458,False
50_2_3_1,20260917,C0,100000,32,0.08060453400503778,0.0007312900666449629,False
50_2_3_1,20260917,C0,150000,58,0.11350293542074363,0.000790073988874318,True
50_2_3_1,20260917,C0,200000,73,0.1298932384341637,0.0027344738542943725,True
50_2_3_1,20260917,C0,250000,118,0.229126213592233,0.007862652358302191,True
50_2_3_1,20260917,C2,50000,21,0.061946902654867256,0.00023763038087576405,False
50_2_3_1,20260917,C2,100000,34,0.08947368421052632,0.0008873280716596987,False
50_2_3_1,20260917,C2,150000,50,0.14084507042253522,0.0008814704058401901,True
50_2_3_1,20260917,C2,200000,56,0.14854111405835543,0.0016234456696019306,True
50_2_3_1,20260917,C2,250000,57,0.11728395061728394,0.0013077520029480816,True
50_2_3_1,20260917,C3,50000,11,0.03806228373702422,0.00037945920464454996,False
50_2_3_1,20260917,C3,100000,42,0.0911062906724512,0.001876927200173406,False
50_2_3_1,20260917,C3,150000,46,0.10065645514223195,0.0014055860611102977,True
50_2_3_1,20260917,C3,200000,75,0.12647554806070826,0.0007876298042153174,True
50_2_3_1,20260917,C3,250000,70,0.11589403973509933,0.0008682094860070766,True
50_2_3_1,20260918,C0,50000,74,0.2890625,0.002582388249867229,True
50_2_3_1,20260918,C0,100000,58,0.16111111111111112,0.0010236519446154002,True
50_2_3_1,20260918,C0,150000,79,0.16844349680170576,0.0007105967627075715,True
50_2_3_1,20260918,C0,200000,63,0.11909262759924386,0.0003164304260506734,True
50_2_3_1,20260918,C0,250000,67,0.11964285714285715,0.0004049041184894797,True
50_2_3_1,20260918,C2,50000,38,0.1557377049180328,0.001616187494741128,True
50_2_3_1,20260918,C2,100000,46,0.16546762589928057,0.0009330546121339989,True
50_2_3_1,20260918,C2,150000,33,0.14601769911504425,0.0006280176867107246,True
50_2_3_1,20260918,C2,200000,46,0.16487455197132617,0.0008756620273209226,True
50_2_3_1,20260918,C2,250000,44,0.13622291021671826,0.001041645631903343,True
50_2_3_1,20260918,C3,50000,58,0.18181818181818182,0.0019818538120294216,True
50_2_3_1,20260918,C3,100000,70,0.23333333333333334,0.0016478869437097643,True
50_2_3_1,20260918,C3,150000,59,0.20136518771331058,0.0015607913990600686,True
50_2_3_1,20260918,C3,200000,47,0.13202247191011235,0.0008425335727738625,True
50_2_3_1,20260918,C3,250000,52,0.14444444444444443,0.0009527369620253578,True
100_5_3_1,20260916,C0,50000,34,0.13127413127413126,0.00027065102814993747,True
100_5_3_1,20260916,C0,100000,75,0.24671052631578946,0.00032934149733621076,True
100_5_3_1,20260916,C0,150000,72,0.2315112540192926,0.0007022072763449572,True
100_5_3_1,20260916,C0,200000,136,0.3215130023640662,0.000216013604335763,True
100_5_3_1,20260916,C0,250000,182,0.35,0.0002188804841174452,True
100_5_3_1,20260916,C2,50000,26,0.13756613756613756,0.00021901878954239118,True
100_5_3_1,20260916,C2,100000,44,0.15714285714285714,0.00306162743786631,True
100_5_3_1,20260916,C2,150000,44,0.11891891891891893,0.00038453176498265407,True
100_5_3_1,20260916,C2,200000,49,0.12009803921568628,0.000394054194160387,True
100_5_3_1,20260916,C2,250000,57,0.1417910447761194,0.000388797117119255,True
100_5_3_1,20260916,C3,50000,25,0.13227513227513227,4.4244835148254946e-05,True
100_5_3_1,20260916,C3,100000,46,0.15333333333333332,0.0006293855469504117,True
100_5_3_1,20260916,C3,150000,36,0.12371134020618557,0.0004758165602238851,True
100_5_3_1,20260916,C3,200000,71,0.17191283292978207,0.00035299624187756784,True
100_5_3_1,20260916,C3,250000,72,0.17142857142857143,0.0003133031790039098,True
100_5_3_1,20260917,C0,50000,34,0.1471861471861472,0.0005050427234916666,True
100_5_3_1,20260917,C0,100000,47,0.13742690058479531,0.0005055003157251603,True
100_5_3_1,20260917,C0,150000,45,0.12195121951219512,0.0008889025606180212,True
100_5_3_1,20260917,C0,200000,65,0.15258215962441316,0.0004640811229171815,True
100_5_3_1,20260917,C0,250000,57,0.13380281690140844,0.00042285568214017744,True
100_5_3_1,20260917,C2,50000,38,0.17194570135746606,0.0006871017581948635,True
100_5_3_1,20260917,C2,100000,64,0.19814241486068113,0.000540872666622283,True
100_5_3_1,20260917,C2,150000,62,0.18562874251497005,0.0006076721402324958,True
100_5_3_1,20260917,C2,200000,59,0.18322981366459629,0.000645555962549782,True
100_5_3_1,20260917,C2,250000,89,0.2542857142857143,0.0005905031427968499,True
100_5_3_1,20260917,C3,50000,37,0.16591928251121077,0.0007004583831806688,True
100_5_3_1,20260917,C3,100000,37,0.13309352517985612,6.708201700789118e-05,True
100_5_3_1,20260917,C3,150000,61,0.16052631578947368,0.00010063984834407513,True
100_5_3_1,20260917,C3,200000,79,0.1759465478841871,0.00030572352599766983,True
100_5_3_1,20260917,C3,250000,100,0.22624434389140272,0.00010420723274007226,True
100_5_3_1,20260918,C0,50000,24,0.13872832369942195,0.00013214107872822067,True
100_5_3_1,20260918,C0,100000,73,0.21987951807228914,0.00030418643470819795,True
100_5_3_1,20260918,C0,150000,77,0.2,0.00033888416856953096,True
100_5_3_1,20260918,C0,200000,77,0.18160377358490565,0.0002979151257259671,True
100_5_3_1,20260918,C0,250000,77,0.17701149425287357,0.0002964041735891154,True
100_5_3_1,20260918,C2,50000,47,0.1950207468879668,0.00022922558378846158,True
100_5_3_1,20260918,C2,100000,69,0.19658119658119658,0.00011263660729560199,True
100_5_3_1,20260918,C2,150000,55,0.14397905759162305,0.0001758152379995881,True
100_5_3_1,20260918,C2,200000,40,0.11142061281337047,0.00044020401439370804,True
100_5_3_1,20260918,C2,250000,73,0.17936117936117937,0.00042372802551970956,True
100_5_3_1,20260918,C3,50000,27,0.13366336633663367,0.00019044220070318918,True
100_5_3_1,20260918,C3,100000,28,0.13592233009708737,8.601555226805946e-05,True
100_5_3_1,20260918,C3,150000,80,0.21739130434782608,0.00021610314052245005,True
100_5_3_1,20260918,C3,200000,111,0.2215568862275449,0.0002023051349493432,True
100_5_3_1,20260918,C3,250000,116,0.2144177449168207,0.00013689576858666452,True
