instance,checkpointTargetFE,meanHV_decision_C0,meanHV_decision_C2,meanHV_decision_C3,meanHV_observed_C0,meanHV_observed_C2,meanHV_observed_C3,meanObservedOnlyRatio_C0,meanObservedOnlyRatio_C2,meanObservedOnlyRatio_C3,meanPotentialHvRecovery_C0,meanPotentialHvRecovery_C2,meanPotentialHvRecovery_C3,meanMinCmax_decision_C0,meanMinCmax_decision_C2,meanMinCmax_decision_C3,meanMinCmax_observed_C0,meanMinCmax_observed_C2,meanMinCmax_observed_C3
50_2_3_1,50000,0.8127592472430143,0.7916672093059997,0.7853538004259076,0.8141746113406669,0.7928622915839769,0.7865019623240735,0.16146674944812361,0.16347062676672425,0.1486447018006498,0.0014153640976527122,0.0011950822779772663,0.0011481618981657264,322.96140837684743,324.0554615451725,324.37613768405816,322.96140837684743,324.0554615451725,324.37613768405816
50_2_3_1,100000,0.9000223742691799,0.8613804909864929,0.8453103420673266,0.9009861257343207,0.8625633274748323,0.8466599810003862,0.16180437470258183,0.17717901826355265,0.15589935032402555,0.0009637514651409015,0.0011828364883393154,0.001349638933059542,322.5925299155573,323.971331598493,323.41604831778733,322.41373773375807,323.971331598493,322.7497995401373
50_2_3_1,150000,0.9293189436782588,0.9122689371767668,0.8916399629560526,0.9303608847643394,0.9130884712376185,0.8931904776279006,0.173692289001686,0.16541635037534239,0.16511302176330336,0.0010419410860805778,0.0008195340608517047,0.001550514671847969,322.5923754022452,322.85319779166076,321.3497117773453,322.413583220446,322.85319779166076,321.150804618848
50_2_3_1,200000,0.9514879831588017,0.9282870269090271,0.9492642427833443,0.9530297048411761,0.9294508287915683,0.9499100283599097,0.17136738170105834,0.1666369476261854,0.11921605387129337,0.0015417216823745417,0.0011638018825411711,0.0006457855765654719,321.9703177345925,322.85319779166076,321.33007130698473,321.7915255527933,322.85319779166076,321.150804618848
50_2_3_1,250000,0.9664184463964921,0.9447205112974141,0.9655688393323506,0.9698821094286735,0.9459036788051126,0.9663416289353082,0.19750161127768004,0.1614950405678558,0.13773490873925345,0.0034636630321814854,0.0011831675076984978,0.0007727896029574947,321.461469504351,322.18489309320626,321.33007130698473,320.567219038908,322.18489309320626,321.150804618848
100_5_3_1,50000,0.43410316415263095,0.41791713372984,0.42199450927935445,0.4344057757627542,0.41829558244034865,0.4223062244190318,0.13906286738656679,0.16817752860385682,0.1439525937076589,0.0003026116101232749,0.0003784487105085721,0.00031171513967737097,778.7679187115024,779.8321777351207,780.5010709462862,778.7679187115024,779.8321777351207,780.5010709462862
100_5_3_1,100000,0.5507870645831613,0.5135045037253866,0.5329975589060353,0.5511667406657511,0.5147428826293146,0.5332583866114441,0.20133898165762465,0.18395548952824495,0.14078306287009226,0.00037967608258985636,0.001238378903928065,0.00026082770540878747,769.6722475933944,777.9667043130685,772.9606872715704,769.6722475933944,777.9667043130685,772.9606872715704
100_5_3_1,150000,0.6067941716579398,0.5898652722931292,0.5664570353410607,0.6074375029931174,0.5902546120075342,0.5667212218574242,0.18448749117716257,0.14950890634183736,0.16720965344782845,0.0006433313351775031,0.00038933971440491266,0.00026418651636347007,768.7800257518171,772.1597988676461,764.4800490223246,768.1953695413276,772.1597988676461,763.8499879017194
100_5_3_1,200000,0.6355330819922271,0.6446824833189296,0.5994409123715113,0.6358590852765534,0.6451757547092974,0.5997279206724527,0.218566311857795,0.13824948856455102,0.18980542234717135,0.0003260032843263039,0.000493271390367959,0.00028700830094152696,768.1613039612826,772.1597988676461,764.4800490223246,768.1542390934634,772.1597988676461,763.8499879017194
100_5_3_1,250000,0.6545731216005268,0.6725857875205247,0.6375684524797198,0.6548858350471424,0.6730534636156699,0.6377532545398301,0.22027143705142735,0.19181264614100435,0.2040302200789316,0.00031271344661557937,0.0004676760951452715,0.00018480206011021552,767.198613079148,766.5341974571361,763.9429456171637,767.1915482113287,766.5341974571361,763.8499879017194
