instance,seed,arm,checkpointTargetFE,checkpointObservedFE,frontType,decisionFrontSize,observedFullFrontSize,exactDedupSize,strictNdSize,observedNdSize,observedOnlyNdCount,decisionOnlyNdCount,observedOnlyRatio,C_observed_vs_decision,C_decision_vs_observed,normalizedNearestNeighborDistance,minCmax,minTEC,minTWC,HV_decision,HV_observed,IGD_decision,IGD_observed
50_2_3_1,20260916,C0,50000,50000,checkpoint-decision-front,238,271,244,244,250,24,12,0.096,1.0,0.9262295081967213,0.017803165011118387,327.09381614836707,20999.501427290645,34148.59563071115,0.9085890320162036,0.9089196036761271,0.1337282130861901,0.13339085277606558
50_2_3_1,20260916,C0,50000,50000,checkpoint-observed-full-front,238,271,244,244,250,24,12,0.096,1.0,0.9262295081967213,0.017803165011118387,327.09381614836707,20999.501427290645,34148.59563071115,0.9085890320162036,0.9089196036761271,0.1337282130861901,0.13339085277606558
50_2_3_1,20260916,C0,100000,100000,checkpoint-decision-front,282,413,320,320,357,87,12,0.24369747899159663,1.0,0.84375,0.024046280725603816,325.98718076449666,20947.320312197022,33325.992867912566,0.9776655395091369,0.9788018518932993,0.1330983407802988,0.1347368401064493
50_2_3_1,20260916,C0,100000,100000,checkpoint-observed-full-front,282,413,320,320,357,87,12,0.24369747899159663,1.0,0.84375,0.024046280725603816,325.4508042190989,20947.320312197022,33325.992867912566,0.9776655395091369,0.9788018518932993,0.1330983407802988,0.1347368401064493
50_2_3_1,20260916,C0,150000,150000,checkpoint-decision-front,329,495,385,385,414,99,14,0.2391304347826087,1.0,0.8181818181818182,0.03536301124018706,325.98718076449666,20930.554033446544,33285.95532766379,0.996092098446059,0.9977172509527188,0.12882376837744205,0.1282111131744089
50_2_3_1,20260916,C0,150000,150000,checkpoint-observed-full-front,329,495,385,385,414,99,14,0.2391304347826087,1.0,0.8181818181818182,0.03536301124018706,325.4508042190989,20930.554033446544,33285.95532766379,0.996092098446059,0.9977172509527188,0.12882376837744205,0.1282111131744089
50_2_3_1,20260916,C0,200000,200000,checkpoint-decision-front,327,478,398,398,430,114,11,0.2651162790697674,1.0,0.7939698492462312,0.03673139105993771,325.98718076449666,20880.480363894298,33121.535727360984,1.018086378967355,1.0196606397341337,0.12970514355625076,0.10949591274586468
50_2_3_1,20260916,C0,200000,200000,checkpoint-observed-full-front,327,478,398,398,430,114,11,0.2651162790697674,1.0,0.7939698492462312,0.03673139105993771,325.4508042190989,20880.480363894298,33121.535727360984,1.018086378967355,1.0196606397341337,0.12970514355625076,0.10949591274586468
50_2_3_1,20260916,C0,250000,250000,terminal-decision-front,341,521,396,396,439,107,9,0.2437357630979499,1.0,0.8383838383838383,0.03080923335435385,325.98718076449666,20877.21447364332,32891.67200623221,1.0319996491886967,1.0341230818084495,0.12762153077681998,0.12665972645278814
50_2_3_1,20260916,C0,250000,250000,terminal-observed-full-front,341,521,396,396,439,107,9,0.2437357630979499,1.0,0.8383838383838383,0.03080923335435385,323.34712167818947,20877.21447364332,32891.67200623221,1.0319996491886967,1.0341230818084495,0.12762153077681998,0.12665972645278814
50_2_3_1,20260916,C2,50000,50000,checkpoint-decision-front,154,208,189,189,198,54,10,0.2727272727272727,1.0,0.7619047619047619,0.027288706638823688,332.07159407247696,21043.631233515232,33426.50861285427,0.9013888817848862,0.9031203107432011,0.12995030942295965,0.1288446350323437
