fe,bestCmaxGlobal,bestCmaxG1,currentBestCmaxG1,bestCmaxGenerated,bestCmaxGeneratedG1,bestCmaxSurvived,windowBestGenerated,windowBestSurvived
1000,235.809311709654,235.809311709654,253.327460604323,261.263005345576,,,261.263005345576,
2000,224.903337724529,234.344488445699,263.420749046707,261.263005345576,,,,
3000,204.922725277266,204.922725277266,248.412517631259,261.263005345576,,,,
4000,204.922725277266,204.922725277266,258.251994756194,261.263005345576,,,,
5000,204.922725277266,204.922725277266,248.296850437211,261.263005345576,,,,
6000,204.922725277266,204.922725277266,250.061313748725,223.368624158360,223.368624158360,,223.368624158360,
7000,204.922725277266,204.922725277266,250.061313748725,220.456480186735,220.456480186735,,220.456480186735,
8000,204.922725277266,204.922725277266,250.061313748725,218.544918986722,218.544918986722,,218.544918986722,
9000,204.922725277266,204.922725277266,250.061313748725,205.653286530328,205.653286530328,,205.653286530328,
10000,204.922725277266,204.922725277266,250.061313748725,205.653286530328,205.653286530328,,226.701340804219,
11000,204.922725277266,204.922725277266,250.061313748725,205.653286530328,205.653286530328,,254.597119729939,
12000,204.922725277266,204.922725277266,250.061313748725,205.653286530328,205.653286530328,,230.719517085448,
13000,204.922725277266,204.922725277266,250.061313748725,205.653286530328,205.653286530328,,221.154678903237,
14000,204.922725277266,204.922725277266,250.061313748725,205.653286530328,205.653286530328,,272.666950872878,
15000,204.922725277266,204.922725277266,250.061313748725,205.653286530328,205.653286530328,,234.418317132301,
16000,204.922725277266,204.922725277266,250.061313748725,205.653286530328,205.653286530328,,264.504865613713,
17000,204.922725277266,204.922725277266,250.061313748725,205.653286530328,205.653286530328,,251.019136790887,
18000,204.922725277266,204.922725277266,250.061313748725,205.653286530328,205.653286530328,,249.681629611156,
19000,204.922725277266,204.922725277266,250.061313748725,205.653286530328,205.653286530328,,259.635088012511,
20000,204.922725277266,204.922725277266,250.061313748725,205.653286530328,205.653286530328,,266.936949442185,
21000,204.922725277266,204.922725277266,250.061313748725,205.653286530328,205.653286530328,,289.668483570368,
22000,204.922725277266,204.922725277266,250.061313748725,205.653286530328,205.653286530328,,254.396330580716,
23000,204.922725277266,204.922725277266,250.061313748725,205.653286530328,205.653286530328,,258.039277839880,
24000,204.922725277266,204.922725277266,250.061313748725,205.653286530328,205.653286530328,,254.611856890781,
25000,204.922725277266,204.922725277266,250.061313748725,205.653286530328,205.653286530328,,285.774109326119,
26000,204.922725277266,204.922725277266,250.061313748725,205.653286530328,205.653286530328,,294.771684574552,
27000,204.922725277266,204.922725277266,250.061313748725,205.653286530328,205.653286530328,,328.853243806702,
28000,204.922725277266,204.922725277266,253.808408591559,205.653286530328,205.653286530328,205.653286530328,237.313794655968,205.653286530328
29000,204.922725277266,204.922725277266,223.194644166810,205.653286530328,205.653286530328,205.653286530328,,
30000,204.922725277266,204.922725277266,248.098500722224,205.653286530328,205.653286530328,205.653286530328,,
31000,204.922725277266,204.922725277266,207.087497521470,205.653286530328,205.653286530328,205.653286530328,,
32000,204.922725277266,204.922725277266,230.861212256061,205.653286530328,205.653286530328,205.653286530328,,
33000,204.922725277266,204.922725277266,225.436832016134,205.653286530328,205.653286530328,205.653286530328,225.436832016134,
34000,204.922725277266,204.922725277266,225.436832016134,198.173566997487,198.173566997487,205.653286530328,198.173566997487,
35000,204.922725277266,204.922725277266,225.436832016134,198.173566997487,198.173566997487,205.653286530328,198.173566997487,
36000,204.922725277266,204.922725277266,225.436832016134,198.173566997487,198.173566997487,205.653286530328,212.330895673632,
37000,204.922725277266,204.922725277266,225.436832016134,198.173566997487,198.173566997487,205.653286530328,218.598869480228,
38000,204.922725277266,204.922725277266,225.436832016134,198.173566997487,198.173566997487,205.653286530328,215.177917019285,
39000,204.922725277266,204.922725277266,225.436832016134,198.173566997487,198.173566997487,205.653286530328,253.617501010145,
40000,204.922725277266,204.922725277266,225.436832016134,198.173566997487,198.173566997487,205.653286530328,244.864638708561,
41000,204.922725277266,204.922725277266,225.436832016134,198.173566997487,198.173566997487,205.653286530328,249.771530525514,
42000,204.922725277266,204.922725277266,225.436832016134,198.173566997487,198.173566997487,205.653286530328,236.889481403076,
43000,204.922725277266,204.922725277266,225.436832016134,198.173566997487,198.173566997487,205.653286530328,236.613129865761,
44000,204.922725277266,204.922725277266,225.436832016134,198.173566997487,198.173566997487,205.653286530328,252.152349058985,
45000,204.922725277266,204.922725277266,225.436832016134,198.173566997487,198.173566997487,205.653286530328,228.762671369308,
46000,204.922725277266,204.922725277266,225.436832016134,198.173566997487,198.173566997487,205.653286530328,252.360332174467,
47000,204.922725277266,204.922725277266,225.436832016134,198.173566997487,198.173566997487,205.653286530328,229.631757788778,
48000,204.922725277266,204.922725277266,225.436832016134,198.173566997487,198.173566997487,205.653286530328,251.370573505402,
49000,204.922725277266,204.922725277266,225.436832016134,198.173566997487,198.173566997487,205.653286530328,266.058301693756,
50000,204.922725277266,204.922725277266,225.436832016134,198.173566997487,198.173566997487,205.653286530328,249.084097572832,
51000,204.922725277266,204.922725277266,225.436832016134,198.173566997487,198.173566997487,205.653286530328,294.233428315982,
52000,204.922725277266,204.922725277266,225.436832016134,198.173566997487,198.173566997487,205.653286530328,249.931815011787,
53000,204.922725277266,204.922725277266,225.436832016134,198.173566997487,198.173566997487,205.653286530328,220.885685315270,
54000,204.922725277266,204.922725277266,225.436832016134,198.173566997487,198.173566997487,205.653286530328,220.885685315270,
55000,204.922725277266,204.922725277266,225.436832016134,198.173566997487,198.173566997487,205.653286530328,280.708898429415,
56000,204.922725277266,204.922725277266,225.436832016134,198.173566997487,198.173566997487,205.653286530328,280.708898429415,
57000,198.173566997487,198.173566997487,198.173566997487,198.173566997487,198.173566997487,198.173566997487,324.373847719886,198.173566997487
58000,198.173566997487,198.173566997487,240.962616424299,198.173566997487,198.173566997487,198.173566997487,,
59000,198.173566997487,198.173566997487,198.173566997487,198.173566997487,198.173566997487,198.173566997487,,
60000,198.173566997487,198.173566997487,198.173566997487,198.173566997487,198.173566997487,198.173566997487,,
61000,196.243002219566,196.243002219566,198.138856757708,198.173566997487,198.173566997487,198.173566997487,,
62000,196.243002219566,196.243002219566,198.138856757708,198.138856757708,198.138856757708,198.173566997487,198.138856757708,
63000,196.243002219566,196.243002219566,198.138856757708,195.244158024146,195.244158024146,198.173566997487,195.244158024146,
64000,196.243002219566,196.243002219566,198.138856757708,195.244158024146,195.244158024146,198.173566997487,198.173566997487,
65000,196.243002219566,196.243002219566,198.138856757708,195.244158024146,195.244158024146,198.173566997487,202.441444836665,
66000,196.243002219566,196.243002219566,198.138856757708,195.244158024146,195.244158024146,198.173566997487,197.862743187714,
67000,196.243002219566,196.243002219566,198.138856757708,195.244158024146,195.244158024146,198.173566997487,203.920826439189,
68000,196.243002219566,196.243002219566,198.138856757708,195.244158024146,195.244158024146,198.173566997487,249.346682233918,
69000,196.243002219566,196.243002219566,198.138856757708,195.244158024146,195.244158024146,198.173566997487,222.548254485118,
70000,196.243002219566,196.243002219566,198.138856757708,195.244158024146,195.244158024146,198.173566997487,234.302154732629,
71000,196.243002219566,196.243002219566,198.138856757708,195.244158024146,195.244158024146,198.173566997487,230.021557498300,
72000,196.243002219566,196.243002219566,198.138856757708,195.244158024146,195.244158024146,198.173566997487,243.699537640314,
73000,196.243002219566,196.243002219566,198.138856757708,195.244158024146,195.244158024146,198.173566997487,254.988903656736,
74000,196.243002219566,196.243002219566,198.138856757708,195.244158024146,195.244158024146,198.173566997487,226.791846743886,
75000,196.243002219566,196.243002219566,198.138856757708,195.244158024146,195.244158024146,198.173566997487,238.895038762862,
76000,196.243002219566,196.243002219566,198.138856757708,195.244158024146,195.244158024146,198.173566997487,276.653099055925,
77000,196.243002219566,196.243002219566,198.138856757708,195.244158024146,195.244158024146,198.173566997487,280.492280833204,
78000,196.243002219566,196.243002219566,198.138856757708,195.244158024146,195.244158024146,198.173566997487,300.861792250547,
79000,196.243002219566,196.243002219566,198.138856757708,195.244158024146,195.244158024146,198.173566997487,267.019216422609,
80000,196.243002219566,196.243002219566,198.138856757708,195.244158024146,195.244158024146,198.173566997487,241.515601414097,
81000,196.243002219566,196.243002219566,198.138856757708,195.244158024146,195.244158024146,198.173566997487,276.871350334654,
82000,196.243002219566,196.243002219566,198.138856757708,195.244158024146,195.244158024146,198.173566997487,257.963833889103,
83000,196.243002219566,196.243002219566,198.138856757708,195.244158024146,195.244158024146,198.173566997487,253.365690337890,
84000,196.243002219566,196.243002219566,198.138856757708,195.244158024146,195.244158024146,198.173566997487,262.364469989650,
85000,195.244158024146,195.244158024146,198.138856757708,195.244158024146,195.244158024146,195.244158024146,338.476378334867,195.244158024146
86000,195.244158024146,195.244158024146,225.767624636874,195.244158024146,195.244158024146,195.244158024146,,
