vector,position,oldValue,newValue,evaluationIndex
MA,11,2,0,106
MA,17,3,1,106
MA,6,3,1,109
MA,15,2,0,115
MA,5,3,1,116
MA,4,3,1,117
MA,19,2,0,117
MA,9,3,1,122
MA,13,3,1,123
MA,14,2,0,124
MA,3,2,0,125
MA,17,2,0,135
MA,19,3,1,135
MA,17,3,1,136
MA,19,3,1,140
MA,14,3,1,143
MA,14,3,1,144
MA,19,2,0,144
MA,18,2,0,145
MA,4,3,1,148
MA,8,2,0,150
MA,9,2,0,150
MA,12,3,1,151
MA,18,2,0,152
MA,16,3,1,170
MA,17,2,0,170
MA,18,2,0,173
MA,4,3,1,177
MA,4,2,0,180
MA,5,3,1,180
MA,8,2,0,181
MA,8,2,0,183
MA,4,3,1,186
MA,6,2,0,186
MA,3,3,1,187
MA,8,2,0,187
MA,9,2,0,188
MA,7,3,1,191
MA,14,3,1,191
MA,4,2,0,192
MA,6,2,0,192
MA,9,2,0,193
MA,16,2,0,193
MA,6,2,0,194
MA,18,3,1,194
MA,3,3,1,196
MA,6,2,0,196
MA,10,3,1,196
MA,1,3,1,201
MA,19,3,1,201
MA,11,2,0,203
MA,10,3,1,204
MA,8,2,0,205
MA,9,2,0,209
MA,9,2,0,212
MA,9,3,1,213
MA,18,3,1,213
MA,6,3,1,217
MA,4,2,0,219
MA,3,3,1,221
MA,4,3,1,228
MA,2,3,1,229
MA,6,2,0,229
MA,11,3,1,232
MA,10,3,1,240
MA,15,3,1,240
MA,11,2,0,241
MA,10,3,1,249
MA,4,3,1,255
MA,4,3,1,258
MA,4,2,0,259
MA,2,3,1,260
MA,3,2,0,260
MA,4,3,1,274
MA,14,2,0,274
MA,4,3,1,281
MA,13,3,1,287
MA,1,3,1,291
MA,14,3,1,295
MA,16,3,1,295
MA,2,3,1,300
MA,14,3,1,306
MA,18,3,1,306
MA,12,3,1,308
MA,10,3,1,311
MA,4,3,1,313
MA,7,2,0,314
MA,11,3,1,314
MA,4,2,0,317
MA,9,3,1,318
MA,4,3,1,319
MA,11,2,0,323
MA,13,2,0,324
MA,6,3,1,325
MA,11,2,0,328
MA,3,3,1,331
MA,6,2,0,331
MA,3,3,1,332
MA,11,2,0,332
MA,4,3,1,333
MA,13,3,1,336
MA,4,3,1,339
MA,12,3,1,351
MA,10,3,1,352
MA,15,3,1,359
MA,7,2,0,362
MA,18,2,0,365
MA,11,3,1,368
MA,9,2,0,373
MA,16,3,1,376
MA,9,3,1,377
MA,15,3,1,378
MA,15,3,1,382
MA,9,3,1,385
MA,1,3,1,393
MA,9,2,0,393
MA,3,3,1,401
MA,16,2,0,402
MA,9,3,1,408
MA,16,2,0,415
MA,3,3,1,416
MA,8,2,0,416
MA,9,2,0,416
MA,15,3,1,418
MA,8,2,0,423
MA,3,3,1,424
MA,17,3,1,424
MA,13,3,1,425
MA,3,3,1,427
MA,3,3,1,428
MA,15,3,1,431
MA,13,3,1,432
MA,10,2,0,434
MA,13,3,1,434
MA,6,2,0,439
MA,4,3,1,444
MA,4,3,1,449
MA,3,2,0,450
MA,17,2,0,451
MA,10,3,1,452
MA,5,2,0,459
MA,9,2,0,459
MA,17,2,0,472
MA,9,3,1,475
MA,6,2,0,483
MA,13,3,1,483
MA,9,2,0,484
MA,10,2,0,484
MA,5,3,1,485
MA,7,2,0,489
MA,15,3,1,490
MA,10,3,1,493
MA,16,3,1,493
MA,15,3,1,494
MA,5,3,1,495
MA,4,2,0,501
MA,9,3,1,505
MA,4,3,1,506
MA,9,2,0,507
MA,9,2,0,516
MA,18,3,1,516
MA,2,3,1,517
MA,12,3,1,518
MA,12,3,1,527
MA,13,2,0,530
MA,18,2,0,535
MA,4,2,0,537
MA,10,3,1,538
MA,15,3,1,538
MA,14,3,1,541
MA,18,3,1,543
MA,10,3,1,544
MA,10,3,1,545
MA,7,2,0,546
MA,10,3,1,549
MA,3,3,1,554
MA,12,3,1,554
MA,15,2,0,554
MA,5,2,0,557
MA,18,2,0,557
MA,10,3,1,565
MA,13,3,1,565
MA,16,3,1,565
MA,5,3,1,566
MA,8,2,0,566
MA,12,3,1,579
MA,7,3,1,581
MA,2,2,0,584
MA,4,3,1,584
MA,7,2,0,584
MA,15,3,1,588
MA,10,3,1,590
MA,18,2,0,591
MA,10,3,1,595
MA,6,2,0,600
MA,13,3,1,603
MA,4,3,1,607
MA,13,2,0,614
MA,16,3,1,614
MA,12,3,1,616
MA,4,3,1,620
MA,7,3,1,623
MA,5,3,1,630
MA,12,3,1,630
MA,17,2,0,630
MA,5,2,0,634
MA,10,3,1,636
MA,9,2,0,637
MA,10,3,1,637
MA,15,2,0,638
MA,7,2,0,647
MA,12,2,0,647
MA,14,2,0,647
MA,15,3,1,647
MA,11,2,0,652
MA,6,2,0,658
MA,14,2,0,659
MA,6,2,0,661
MA,3,2,0,666
MA,13,3,1,667
MA,9,3,1,669
MA,17,2,0,673
MA,5,3,1,676
MA,9,3,1,676
MA,3,2,0,679
MA,6,2,0,679
MA,17,2,0,680
MA,1,3,1,682
MA,3,2,0,682
MA,4,2,0,683
MA,11,2,0,684
MA,3,3,1,685
MA,4,2,0,686
MA,6,2,0,686
MA,10,3,1,689
MA,6,2,0,691
MA,10,3,1,691
MA,10,3,1,692
MA,4,3,1,693
MA,10,3,1,693
MA,13,2,0,693
MA,10,3,1,697
MA,18,3,1,699
MA,3,3,1,700
MA,6,2,0,701
MA,14,2,0,705
MA,3,3,1,706
MA,18,3,1,707
MA,13,2,0,709
MA,4,3,1,710
MA,13,2,0,710
MA,6,2,0,711
MA,6,2,0,714
MA,10,3,1,715
MA,6,2,0,718
MA,12,2,0,720
MA,13,2,0,721
MA,6,2,0,724
