vector,position,oldValue,newValue,evaluationIndex
MA,5,2,0,100
MA,6,3,1,100
WA,14,2,0,101
WA,16,2,0,101
WA,17,2,0,101
MA,19,2,0,101
MA,18,3,1,102
MA,19,3,1,102
MA,11,3,1,103
WA,11,2,0,103
WA,15,2,0,103
MA,17,2,0,103
WA,17,2,0,103
WA,4,2,0,104
MA,7,2,0,107
MA,17,2,0,107
WA,17,2,0,107
MA,18,2,0,110
WA,2,2,0,111
MA,3,2,0,111
MA,13,3,1,111
WA,19,2,0,111
WA,0,2,0,113
MA,2,2,0,116
WA,2,2,0,116
MA,9,2,0,116
WA,11,2,0,116
MA,19,3,1,116
WA,19,2,0,116
WA,7,2,0,117
MA,14,3,1,117
MA,17,2,0,117
WA,17,2,0,117
MA,10,3,1,118
WA,12,2,0,118
MA,14,2,0,118
WA,8,2,0,122
WA,16,2,0,122
WA,9,2,0,123
MA,14,3,1,123
WA,14,2,0,123
MA,14,3,1,124
WA,14,2,0,124
WA,5,2,0,130
WA,7,2,0,131
WA,9,2,0,132
WA,19,2,0,134
MA,4,3,1,135
WA,6,2,0,136
MA,16,3,1,136
MA,4,2,0,137
MA,9,2,0,137
WA,9,2,0,137
WA,11,2,0,137
MA,19,3,1,137
MA,17,2,0,138
WA,6,2,0,139
MA,14,2,0,140
WA,14,2,0,140
WA,8,2,0,141
MA,13,2,0,141
WA,15,2,0,142
MA,14,2,0,144
MA,16,3,1,144
WA,16,2,0,144
MA,17,2,0,144
WA,17,2,0,144
WA,10,2,0,145
WA,13,2,0,146
MA,19,2,0,146
WA,6,2,0,147
MA,17,2,0,147
WA,17,2,0,147
MA,9,3,1,150
WA,9,2,0,150
MA,11,2,0,151
WA,13,2,0,151
MA,17,2,0,151
WA,17,2,0,151
MA,18,2,0,151
WA,18,2,0,151
WA,4,2,0,152
MA,10,2,0,152
MA,12,3,1,152
MA,13,2,0,152
MA,15,2,0,152
WA,14,2,0,153
MA,17,2,0,153
WA,17,2,0,153
MA,17,2,0,155
WA,11,2,0,156
MA,13,3,1,156
WA,16,2,0,156
MA,17,2,0,156
WA,2,2,0,157
MA,6,2,0,157
MA,10,3,1,157
WA,12,2,0,157
MA,14,3,1,157
WA,15,2,0,157
MA,14,3,1,160
MA,17,2,0,161
WA,17,2,0,161
MA,4,2,0,162
WA,17,2,0,162
WA,6,2,0,163
MA,18,3,1,163
WA,19,2,0,163
MA,16,2,0,164
WA,10,2,0,165
MA,19,2,0,165
WA,1,2,0,166
MA,6,3,1,166
MA,12,2,0,166
MA,14,2,0,166
WA,14,2,0,166
MA,8,2,0,167
WA,8,2,0,167
WA,8,2,0,171
WA,2,2,0,172
MA,13,3,1,172
WA,13,2,0,172
MA,11,2,0,173
MA,17,3,1,173
MA,14,2,0,176
WA,14,2,0,176
MA,18,3,1,176
MA,19,2,0,176
WA,3,2,0,177
WA,13,2,0,177
WA,18,2,0,179
MA,15,3,1,182
WA,18,2,0,182
MA,19,2,0,182
WA,1,2,0,183
WA,8,2,0,184
MA,9,2,0,184
MA,18,3,1,184
WA,10,2,0,185
MA,12,2,0,185
WA,5,2,0,186
WA,8,2,0,187
WA,10,2,0,199
MA,13,3,1,199
MA,15,2,0,199
MA,18,2,0,199
MA,4,3,1,402
WA,19,2,0,403
MA,11,3,1,404
WA,10,2,0,405
MA,19,2,0,405
WA,11,2,0,410
MA,19,3,1,410
MA,14,3,1,411
MA,17,2,0,411
MA,0,2,0,412
MA,9,3,1,412
MA,1,2,0,413
WA,1,2,0,413
MA,5,2,0,413
MA,17,3,1,413
WA,17,2,0,413
WA,18,2,0,413
WA,5,2,0,414
MA,7,2,0,414
MA,11,2,0,415
WA,11,2,0,415
MA,13,3,1,415
WA,16,2,0,415
MA,17,2,0,415
MA,6,2,0,418
MA,7,2,0,418
WA,3,2,0,419
WA,11,2,0,419
MA,13,3,1,419
WA,0,2,0,420
WA,18,2,0,420
WA,13,2,0,422
WA,15,2,0,422
MA,5,3,1,423
WA,5,2,0,423
MA,7,2,0,423
MA,10,2,0,423
MA,12,2,0,423
WA,11,2,0,426
WA,14,2,0,427
MA,19,2,0,427
WA,3,2,0,428
WA,18,2,0,428
WA,15,2,0,430
MA,1,3,1,432
MA,2,2,0,432
MA,9,3,1,432
MA,11,2,0,432
WA,11,2,0,432
MA,10,3,1,433
WA,6,2,0,435
WA,18,2,0,435
WA,0,2,0,436
WA,16,2,0,436
MA,19,3,1,437
MA,11,2,0,447
WA,11,2,0,447
MA,4,3,1,449
WA,0,2,0,450
WA,3,2,0,451
MA,14,3,1,451
WA,18,2,0,451
MA,11,2,0,452
WA,11,2,0,452
MA,19,3,1,456
WA,11,2,0,458
WA,16,2,0,458
MA,17,2,0,458
WA,15,2,0,459
WA,19,2,0,460
MA,8,3,1,461
MA,10,2,0,461
WA,10,2,0,461
WA,18,2,0,463
WA,0,2,0,466
WA,10,2,0,467
MA,17,2,0,472
WA,17,2,0,472
WA,18,2,0,473
MA,19,3,1,473
WA,19,2,0,473
MA,9,3,1,474
MA,11,2,0,474
WA,12,2,0,474
WA,8,2,0,476
WA,15,2,0,477
WA,10,2,0,478
MA,19,3,1,478
WA,19,2,0,478
MA,14,3,1,479
WA,9,2,0,483
WA,11,2,0,486
WA,16,2,0,487
MA,17,2,0,487
MA,4,3,1,489
MA,17,2,0,490
WA,0,2,0,491
WA,15,2,0,491
MA,19,3,1,491
WA,15,2,0,492
WA,7,2,0,499
WA,14,2,0,499
MA,5,3,1,701
WA,5,2,0,701
WA,14,2,0,701
WA,7,2,0,703
WA,17,2,0,705
MA,19,3,1,708
MA,17,2,0,709
WA,17,2,0,709
MA,9,3,1,710
MA,7,2,0,711
WA,7,2,0,711
MA,10,2,0,711
MA,11,2,0,711
WA,14,2,0,711
WA,15,2,0,714
WA,1,2,0,716
WA,2,2,0,716
WA,3,2,0,716
WA,4,2,0,719
MA,15,3,1,720
MA,4,2,0,727
WA,0,2,0,729
WA,17,2,0,729
WA,17,2,0,730
WA,0,2,0,731
MA,6,3,1,732
MA,0,3,1,733
MA,2,2,0,733
MA,5,3,1,733
WA,2,2,0,734
WA,18,2,0,734
MA,4,3,1,735
WA,16,2,0,735
MA,12,3,1,736
WA,17,2,0,739
WA,6,2,0,742
WA,9,2,0,742
MA,18,2,0,742
WA,18,2,0,742
WA,19,2,0,742
WA,17,2,0,744
MA,1,3,1,748
MA,2,2,0,748
MA,9,3,1,748
MA,5,3,1,749
MA,7,2,0,749
WA,7,2,0,749
MA,10,2,0,749
WA,15,2,0,754
WA,4,2,0,756
MA,8,2,0,756
WA,1,2,0,757
WA,3,2,0,757
MA,4,3,1,757
WA,16,2,0,757
MA,13,3,1,758
MA,16,3,1,758
WA,16,2,0,758
WA,18,2,0,758
MA,10,2,0,759
WA,11,2,0,760
WA,5,2,0,764
MA,19,3,1,764
WA,12,2,0,766
MA,4,3,1,768
WA,14,2,0,768
WA,13,2,0,770
WA,17,2,0,770
WA,0,2,0,771
WA,2,2,0,772
WA,17,2,0,773
MA,5,3,1,776
WA,5,2,0,776
MA,7,2,0,776
WA,7,2,0,776
MA,10,2,0,776
MA,12,2,0,776
MA,14,2,0,776
WA,14,2,0,776
WA,1,2,0,777
WA,2,2,0,777
WA,3,2,0,777
MA,13,3,1,777
MA,1,2,0,782
WA,0,2,0,784
WA,4,2,0,785
MA,17,2,0,785
WA,17,2,0,785
WA,4,2,0,786
MA,8,2,0,786
WA,2,2,0,788
WA,3,2,0,788
WA,11,2,0,788
MA,13,3,1,788
MA,13,3,1,792
WA,14,2,0,792
WA,16,2,0,792
MA,17,2,0,792
WA,1,2,0,793
WA,2,2,0,793
WA,3,2,0,793
WA,8,2,0,793
WA,9,2,0,795
MA,18,3,1,795
WA,18,2,0,795
MA,5,3,1,1001
WA,17,2,0,1001
MA,11,3,1,1002
WA,17,2,0,1003
MA,7,2,0,1004
MA,11,2,0,1005
WA,11,2,0,1005
WA,0,2,0,1008
WA,11,2,0,1008
MA,13,3,1,1008
MA,14,3,1,1009
WA,14,2,0,1009
WA,17,2,0,1011
WA,0,2,0,1013
MA,6,2,0,1014
MA,7,2,0,1014
MA,1,3,1,1015
MA,5,3,1,1015
MA,4,2,0,1016
WA,10,2,0,1017
WA,1,2,0,1021
WA,3,2,0,1021
WA,11,2,0,1021
MA,5,3,1,1024
MA,9,3,1,1024
WA,9,2,0,1024
MA,4,3,1,1025
MA,7,2,0,1025
WA,15,2,0,1025
WA,11,2,0,1026
WA,15,2,0,1026
MA,9,3,1,1027
MA,14,2,0,1027
WA,14,2,0,1027
MA,16,2,0,1027
WA,16,2,0,1027
MA,4,3,1,1029
MA,7,2,0,1029
MA,8,3,1,1029
WA,4,2,0,1030
MA,9,3,1,1030
WA,9,2,0,1030
MA,11,2,0,1036
WA,11,2,0,1036
MA,13,3,1,1036
MA,17,2,0,1036
MA,4,3,1,1037
MA,12,2,0,1037
WA,15,2,0,1037
WA,18,2,0,1040
MA,9,2,0,1041
MA,13,3,1,1041
MA,11,2,0,1046
WA,11,2,0,1046
WA,16,2,0,1051
MA,4,3,1,1052
MA,9,3,1,1054
WA,9,2,0,1054
WA,3,2,0,1055
MA,11,3,1,1055
WA,18,2,0,1055
WA,3,2,0,1062
MA,17,3,1,1062
WA,17,2,0,1062
WA,18,2,0,1062
WA,0,2,0,1064
MA,13,3,1,1065
WA,16,2,0,1065
MA,1,3,1,1066
MA,4,3,1,1066
MA,0,2,0,1067
WA,11,2,0,1072
MA,5,3,1,1076
WA,13,2,0,1076
MA,6,2,0,1077
MA,7,2,0,1077
MA,13,3,1,1078
MA,16,3,1,1078
MA,19,3,1,1079
WA,17,2,0,1084
WA,0,2,0,1087
WA,7,2,0,1087
WA,11,2,0,1087
WA,0,2,0,1088
WA,6,2,0,1089
WA,13,2,0,1089
WA,15,2,0,1089
MA,4,3,1,1090
MA,14,2,0,1090
WA,14,2,0,1090
MA,18,3,1,1090
MA,4,2,0,1091
WA,6,2,0,1091
MA,18,2,0,1094
WA,8,2,0,1096
MA,19,3,1,1096
WA,6,2,0,1097
WA,15,2,0,1300
MA,19,3,1,1300
MA,5,2,0,1301
WA,10,2,0,1301
WA,17,2,0,1301
WA,7,2,0,1304
WA,3,2,0,1306
WA,13,2,0,1307
WA,15,2,0,1307
MA,5,3,1,1310
MA,12,3,1,1310
WA,17,2,0,1311
MA,14,3,1,1312
WA,14,2,0,1312
WA,0,2,0,1314
MA,3,3,1,1320
WA,3,2,0,1320
MA,4,2,0,1320
MA,12,2,0,1321
WA,4,2,0,1322
MA,9,3,1,1322
WA,11,2,0,1325
MA,4,2,0,1328
WA,1,2,0,1329
MA,18,3,1,1329
WA,14,2,0,1331
MA,4,3,1,1333
MA,13,3,1,1334
MA,17,2,0,1334
MA,18,2,0,1335
WA,11,2,0,1336
MA,5,3,1,1337
WA,5,2,0,1337
MA,12,3,1,1337
WA,4,2,0,1338
WA,10,2,0,1341
WA,3,2,0,1342
WA,12,2,0,1344
MA,14,3,1,1344
WA,14,2,0,1344
MA,3,3,1,1346
MA,5,3,1,1347
WA,5,2,0,1347
MA,12,3,1,1347
MA,19,3,1,1347
MA,0,2,0,1356
WA,5,2,0,1356
MA,1,3,1,1357
MA,2,2,0,1362
MA,14,3,1,1363
MA,6,2,0,1366
MA,7,2,0,1366
MA,3,2,0,1367
WA,3,2,0,1367
MA,4,2,0,1367
MA,5,3,1,1367
WA,3,2,0,1368
MA,12,3,1,1369
WA,13,2,0,1369
MA,8,3,1,1372
WA,8,2,0,1372
MA,16,2,0,1373
WA,16,2,0,1373
WA,5,2,0,1379
WA,17,2,0,1381
WA,16,2,0,1382
WA,1,2,0,1383
MA,4,3,1,1383
