slot,lineage,JS,FA,MA,WA,Cmax,TEC,TWC,fingerprint
0,40,"1,4,5,7,9,6,8,0,2,3","0,0,1,0,0,1,1,0,0,0","2,1,1,1,0,1,1,1,1,0","1,0,1,0,1,0,1,0,0,1",58.735561900065484,2138.9249739252245,2703.7948178866250,"[1, 4, 5, 7, 9, 6, 8, 0, 2, 3]|[0, 0, 1, 0, 0, 1, 1, 0, 0, 0]|null|[1, 0, 1, 0, 1, 0, 1, 0, 0, 1]"
1,63,"2,1,8,4,9,7,3,0,6,5","1,1,0,0,0,1,0,1,1,1","0,0,0,0,0,1,0,1,0,0","1,1,0,1,0,0,0,0,0,1",74.077875171669130,1969.1430851262010,3395.8895897151697,"[2, 1, 8, 4, 9, 7, 3, 0, 6, 5]|[1, 1, 0, 0, 0, 1, 0, 1, 1, 1]|null|[1, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
2,79,"6,2,0,5,3,4,1,7,9,8","0,1,0,1,1,0,1,1,1,1","1,0,0,0,1,0,0,1,0,1","0,1,1,1,0,1,1,0,1,0",61.308254760445310,1999.2524726013455,3255.1828016190975,"[6, 2, 0, 5, 3, 4, 1, 7, 9, 8]|[0, 1, 0, 1, 1, 0, 1, 1, 1, 1]|null|[0, 1, 1, 1, 0, 1, 1, 0, 1, 0]"
3,91,"2,7,6,0,3,5,4,1,9,8","1,1,1,1,0,0,0,1,1,0","0,1,0,1,0,0,0,0,0,1","0,0,1,0,0,0,1,1,1,0",63.160154162091350,1998.9225569638404,3221.9810066534765,"[2, 7, 6, 0, 3, 5, 4, 1, 9, 8]|[1, 1, 1, 1, 0, 0, 0, 1, 1, 0]|null|[0, 0, 1, 0, 0, 0, 1, 1, 1, 0]"
4,94,"6,0,7,1,4,9,5,3,2,8","0,0,0,1,0,0,0,1,1,1","0,0,1,0,1,0,0,1,0,1","0,1,0,1,0,1,0,0,1,0",64.036503642794290,2040.5258666812715,2869.7062344888520,"[6, 0, 7, 1, 4, 9, 5, 3, 2, 8]|[0, 0, 0, 1, 0, 0, 0, 1, 1, 1]|null|[0, 1, 0, 1, 0, 1, 0, 0, 1, 0]"
5,96,"6,4,0,7,9,5,3,1,2,8","1,0,0,1,0,0,0,1,1,1","0,1,0,0,0,1,0,0,1,1","1,0,1,1,1,0,0,1,0,0",54.978117790041440,2008.2872897758030,3005.2756477198560,"[6, 4, 0, 7, 9, 5, 3, 1, 2, 8]|[1, 0, 0, 1, 0, 0, 0, 1, 1, 1]|null|[1, 0, 1, 1, 1, 0, 0, 1, 0, 0]"
6,110,"2,9,7,1,6,3,5,0,4,8","0,1,1,1,0,1,0,0,1,1","1,0,1,0,0,1,0,0,0,1","0,1,0,1,0,0,0,1,1,0",57.211638339030280,2003.5034432910327,3231.5163414842737,"[2, 9, 7, 1, 6, 3, 5, 0, 4, 8]|[0, 1, 1, 1, 0, 1, 0, 0, 1, 1]|null|[0, 1, 0, 1, 0, 0, 0, 1, 1, 0]"
7,147,"2,7,6,0,9,5,3,1,4,8","1,0,0,1,0,0,0,1,1,1","0,1,0,0,0,1,0,0,1,1","1,0,1,1,1,0,0,1,0,0",52.208038501211945,2016.8066486020266,2934.7284677189420,"[2, 7, 6, 0, 9, 5, 3, 1, 4, 8]|[1, 0, 0, 1, 0, 0, 0, 1, 1, 1]|null|[1, 0, 1, 1, 1, 0, 0, 1, 0, 0]"
8,149,"2,4,0,7,9,5,3,1,6,8","1,0,0,1,0,0,0,1,1,1","0,1,0,0,0,1,0,0,1,1","1,0,1,1,1,0,0,1,0,0",54.082409559211400,2008.6129454819688,2994.2696142047193,"[2, 4, 0, 7, 9, 5, 3, 1, 6, 8]|[1, 0, 0, 1, 0, 0, 0, 1, 1, 1]|null|[1, 0, 1, 1, 1, 0, 0, 1, 0, 0]"
9,148,"2,9,0,6,7,5,3,1,4,8","1,0,1,0,0,0,0,1,1,1","0,0,0,0,1,1,0,0,1,1","1,1,1,1,0,0,0,1,0,0",51.539667192167855,2022.7014301135500,2984.9231792661176,"[2, 9, 0, 6, 7, 5, 3, 1, 4, 8]|[1, 0, 1, 0, 0, 0, 0, 1, 1, 1]|null|[1, 1, 1, 1, 0, 0, 0, 1, 0, 0]"
