algorithm,frontSize,HV,IGD,Spacing,C_against_other,other_C_against_self,minCmax,minTEC,minTWC,maxCmax,maxTEC,maxTWC
ZHANGBO-FULL,749,0.981173892510,0.00125839647098,0.0181102443608,0.925742574257,0.00801068090788,178.638826444,8421.36124247,12567.7745296,428.874187458,10978.2610672,18425.6168064
HMOPSO-QGS-F,202,0.716404357318,0.181703093718,0.0339807833628,0.00801068090788,0.925742574257,202.740156574,8779.16559542,12798.6191601,477.614585558,11203.7740955,21141.1331778
