instance,seed,arm,nominalCheckpointFE,actualSnapshotFE,frontType,HV,IGD,reference,ideal,nadir
100_5_3_1,20260901,A2,1000,1023,workingPopulationND,0.7123,0.0451,A42D6F15,755.14|110254|286005,1483|129014|361084
100_5_3_1,20260901,A4,1000,1015,workingPopulationND,0.7189,0.0423,A42D6F15,755.14|110254|286005,1483|129014|361084
